Well Name,Depth,GR,AC,DEN,K
JY1,2376.125,155.851,244.334,2.625,165.563
JY1,2376.25,154.384,244.383,2.625,166.434
JY1,2376.375,156.159,243.681,2.63,165.548
JY1,2376.5,157.536,243.005,2.639,163.4
JY1,2376.625,156.116,241.687,2.644,161.076
JY1,2376.75,152.667,239.886,2.642,158.235
JY1,2376.875,150.105,239.069,2.634,154.564
JY1,2377,150.037,239.046,2.626,150.788
JY1,2377.125,152.745,239.069,2.621,147.771
JY1,2377.25,156.022,240.06,2.619,146.137
JY1,2377.375,157.578,242.271,2.618,145.997
JY1,2377.5,156.158,243.389,2.62,147.044
JY1,2377.625,152.721,241.008,2.629,148.696
JY1,2377.75,149.047,237.915,2.642,149.43
JY1,2378.125,156.116,240.696,2.644,149.005
JY1,2378.25,162.566,246.423,2.627,151.529
JY1,2378.375,166.232,251.665,2.615,154.939
JY1,2378.5,166.688,255.85,2.61,159.1
JY1,2378.625,166.212,259.189,2.611,163.044
JY1,2378.75,165.919,261.049,2.614,163.817
JY1,2378.875,166.151,262.203,2.617,159.869
JY1,2379,166.711,263.578,2.616,153.372
JY1,2379.125,166.995,264.106,2.611,149.201
JY1,2379.25,165.944,263.259,2.604,147.987
JY1,2379.375,163.809,261.741,2.597,148.901
JY1,2379.5,161.753,260.36,2.592,151.947
JY1,2379.625,160.73,259.169,2.589,157.282
JY1,2379.75,160.802,258.234,2.591,162.646
JY1,2379.875,162.091,258.205,2.595,163.978
JY1,2380,164.183,259.438,2.596,160.35
JY1,2380.875,158.5,262.958,2.593,150.111
JY1,2381,156.02,262.495,2.604,149.938
JY1,2381.125,152.066,260.471,2.614,152.615
JY1,2381.25,148.649,257.362,2.621,155.95
JY1,2381.375,147.637,254.8,2.626,157.637
JY1,2381.5,149.197,253.574,2.63,156.318
JY1,2381.625,152.418,253.675,2.628,152.913
JY1,2381.75,155.404,255.617,2.615,149.13
JY1,2381.875,157.776,258.52,2.595,147.562
JY1,2382.5,162.929,264.335,2.551,166.72
JY1,2382.625,161.122,264.316,2.551,166.235
JY1,2382.75,159.393,263.532,2.549,165.904
JY1,2382.875,157.891,262.384,2.552,166.109
JY1,2383,157.379,261.311,2.561,166.681
JY1,2383.75,157.976,258.576,2.568,160.692
JY1,2383.875,158.202,257.405,2.562,161.894
JY1,2384,159.231,257.136,2.554,163.991
JY1,2384.125,159.36,258.398,2.547,165.953
JY1,2384.25,158.172,260.544,2.547,166.308
JY1,2384.375,157.112,261.691,2.55,164.85
JY1,2384.5,158.441,261.465,2.552,162.224
JY1,2384.875,170.484,261.337,2.535,158.762
JY1,2385.875,176.119,263.079,2.593,157.433
JY1,2386,176.09,264.394,2.607,159.978
JY1,2386.125,176.377,265.014,2.609,163.223
JY1,2390.5,208.148,261.98,2.6,178.899
JY1,2390.625,208.051,267.917,2.605,178.294
JY1,2390.75,203.331,272.45,2.594,177.305
JY1,2391.25,190.095,262.469,2.599,180.212
JY1,2391.375,199.474,261.885,2.6,177.664
JY1,2392.75,194.452,262.876,2.596,185.928
JY1,2392.875,193.578,262.771,2.603,181.173
JY1,2393,192.333,261.505,2.597,178.677
JY1,2393.75,188.016,245.429,2.594,202.303
JY1,2393.875,189.639,247.335,2.599,203.498
JY1,2394,189.74,249.031,2.603,202.275
JY1,2394.125,189.645,249.316,2.601,200.23
JY1,2394.25,189.17,248.201,2.593,199.876
JY1,2394.625,180.88,243.632,2.599,209.159
JY1,2395,185.908,244.098,2.608,190.669
JY2,2451.5,158.591,77.919,2.657,4.122
JY2,2451.625,161.427,76.706,2.713,4.015
JY2,2451.75,160.728,76.238,2.744,3.905
JY2,2451.875,159.107,76.424,2.758,3.834
JY2,2452,158.448,76.827,2.758,3.852
JY2,2452.125,158.573,77.365,2.747,3.959
JY2,2452.25,158.647,77.961,2.735,4.126
JY2,2452.375,158.697,78.394,2.724,4.333
JY2,2452.5,158.984,78.646,2.718,4.534
JY2,2452.625,159.349,78.863,2.713,4.661
JY2,2452.75,159.587,78.915,2.707,4.667
JY2,2452.875,159.533,78.676,2.699,4.573
JY2,2453,158.984,78.529,2.69,4.419
JY2,2453.125,158.473,78.802,2.684,4.229
JY2,2453.25,159.409,79.211,2.681,4.051
JY2,2453.375,163.293,79.639,2.683,3.936
JY2,2453.5,169.962,80.343,2.687,3.923
JY2,2453.625,176.63,81.261,2.69,3.982
JY2,2453.75,180.097,82.106,2.688,4.034
JY2,2453.875,179.536,82.716,2.684,4.032
JY2,2454,176.748,83.072,2.681,3.996
JY2,2454.125,174.399,83.139,2.686,3.943
JY2,2454.25,173.559,82.929,2.697,3.882
JY2,2454.375,173.706,82.578,2.71,3.815
JY2,2454.5,173.691,82.153,2.72,3.736
JY2,2454.625,172.758,81.165,2.725,3.644
JY2,2454.75,170.728,79.185,2.728,3.556
JY2,2455.5,166.658,78.515,2.711,3.655
JY2,2455.625,167.007,78.543,2.717,3.722
JY2,2455.75,166.658,77.178,2.73,3.764
JY2,2455.875,165.322,75.322,2.747,3.773
JY2,2456,163.131,73.974,2.759,3.75
JY2,2456.125,161.404,73.551,2.759,3.709
JY2,2456.5,172.873,77.52,2.706,3.476
JY2,2456.625,179.22,78.768,2.7,3.478
JY2,2456.75,183.777,79.294,2.699,3.525
JY2,2456.875,185.317,79.423,2.699,3.566
JY2,2457,183.553,79.364,2.701,3.604
JY2,2457.125,179.159,79.237,2.706,3.644
JY2,2457.25,173.597,79.132,2.71,3.67
JY2,2457.375,168.863,79.024,2.709,3.68
JY2,2457.5,166.243,78.892,2.707,3.692
JY2,2457.625,166.201,78.749,2.714,3.733
JY2,2457.75,167.928,78.583,2.727,3.828
JY2,2457.875,170.381,78.397,2.737,3.977
JY2,2458,172.395,78.209,2.735,4.131
JY2,2458.125,172.875,78.076,2.729,4.263
JY2,2458.25,171.601,78.14,2.726,4.38
JY2,2458.375,169.788,78.429,2.729,4.474
JY2,2458.5,168.475,78.806,2.734,4.518
JY2,2458.625,167.468,79.136,2.737,4.494
JY2,2458.75,166.449,79.345,2.733,4.409
JY2,2458.875,165.981,79.523,2.724,4.294
JY2,2459,166.921,79.812,2.71,4.197
JY2,2459.125,169.143,79.992,2.696,4.154
JY2,2459.25,171.836,79.89,2.688,4.169
JY2,2459.375,173.409,79.628,2.685,4.241
JY2,2459.5,173.131,79.228,2.683,4.362
JY2,2459.625,171.966,78.714,2.681,4.527
JY2,2459.75,171.661,78.48,2.682,4.702
JY2,2459.875,172.182,78.701,2.688,4.846
JY2,2460,172.662,79.205,2.698,4.933
JY2,2460.125,173.202,79.742,2.706,4.961
JY2,2460.25,174.506,80.155,2.711,4.938
JY2,2460.375,176.293,80.372,2.715,4.864
JY2,2460.5,177.312,80.468,2.717,4.753
JY2,2460.625,176.924,80.4,2.713,4.615
JY2,2460.75,176.143,80.084,2.704,4.462
JY2,2460.875,176.568,79.783,2.693,4.328
JY2,2461,178.38,79.63,2.685,4.243
JY2,2461.125,180.584,79.454,2.681,4.226
JY2,2461.25,182.762,79.325,2.678,4.3
JY2,2461.375,185.188,79.361,2.674,4.439
JY2,2461.5,187.705,79.366,2.666,4.569
JY2,2461.625,190.383,79.247,2.657,4.647
JY2,2461.75,193.83,79.025,2.653,4.684
JY2,2461.875,196.652,78.737,2.657,4.677
JY2,2462,196.777,78.599,2.665,4.595
JY2,2462.125,193.403,78.821,2.679,4.425
JY2,2462.25,188.582,79.447,2.694,4.197
JY2,2462.375,184.749,80.492,2.7,3.985
JY2,2462.5,183.059,81.531,2.688,3.837
JY2,2462.625,181.802,81.869,2.669,3.75
JY2,2463,171.017,78.063,2.658,3.768
JY2,2463.125,170.061,76.942,2.665,3.793
JY2,2463.25,168.203,76.909,2.672,3.82
JY2,2463.375,162.459,76.532,2.68,3.847
JY2,2472.25,157.696,78.12,2.718,3.855
JY2,2472.375,160.139,79.125,2.718,3.909
JY2,2472.5,158.667,78.224,2.715,3.93
JY2,2472.625,157.079,76.454,2.717,3.945
JY2,2472.75,155.168,75.351,2.723,3.936
JY2,2472.875,153.064,75.379,2.73,3.907
JY2,2473,152.581,75.486,2.731,3.873
JY2,2473.125,154.156,75.559,2.721,3.84
JY2,2473.25,156.795,76.358,2.705,3.827
JY2,2473.375,158.764,77.32,2.694,3.852
JY2,2473.5,159.444,77.615,2.69,3.91
JY2,2473.625,159.923,77.642,2.692,4.006
JY2,2473.75,161.812,78.043,2.694,4.165
JY2,2473.875,165.526,78.773,2.698,4.37
JY2,2474,169.891,79.698,2.703,4.531
JY2,2474.125,174.144,80.668,2.706,4.589
JY2,2474.25,177.579,81.57,2.707,4.575
JY2,2474.375,177.86,82.283,2.704,4.543
JY2,2474.5,171.489,81.479,2.693,4.392
JY2,2474.625,154.112,78.013,2.674,3.854
JY2,2477.125,166.798,81.202,2.711,3.974
JY2,2477.25,170.854,82.435,2.725,4.03
JY2,2477.375,169.302,81.751,2.732,4.049
JY2,2477.5,167.488,80.832,2.736,4.072
JY2,2477.625,167.516,80.609,2.737,4.078
JY2,2477.75,168.609,80.777,2.738,4.071
JY2,2477.875,168.975,80.944,2.739,4.069
JY2,2478,168.094,81.254,2.737,4.068
JY2,2478.125,165.302,81.688,2.734,4.076
JY2,2478.25,160.603,82.2,2.734,4.158
JY2,2478.375,155.226,82.661,2.739,4.305
JY2,2478.5,152.027,82.843,2.746,4.446
JY2,2478.625,151.71,82.848,2.75,4.547
JY2,2478.75,152.729,82.506,2.748,4.641
JY2,2478.875,153.375,81.73,2.742,4.724
JY2,2479,153.805,81.259,2.737,4.783
JY2,2479.125,154.528,81.277,2.735,4.825
JY2,2479.25,155.698,81.44,2.734,4.859
JY2,2479.375,157.519,81.855,2.731,4.873
JY2,2479.5,160.201,82.373,2.725,4.845
JY2,2479.625,162.769,82.722,2.715,4.779
JY2,2479.75,164.133,83.173,2.705,4.697
JY2,2479.875,163.767,83.749,2.702,4.605
JY2,2480,162.414,83.95,2.706,4.504
JY2,2480.125,160.563,83.66,2.712,4.408
JY2,2480.25,158.419,83.173,2.712,4.335
JY2,2480.375,156.541,82.518,2.705,4.292
JY2,2480.5,156.588,81.695,2.698,4.264
JY2,2480.625,159.653,81.381,2.696,4.216
JY2,2480.75,163.602,81.97,2.7,4.149
JY2,2480.875,165.291,82.904,2.703,4.108
JY2,2481,164.233,83.506,2.7,4.115
JY2,2481.125,162.6,83.865,2.694,4.144
JY2,2481.25,161.922,84.013,2.691,4.188
JY2,2481.375,161.45,83.822,2.692,4.26
JY2,2481.5,160.778,83.523,2.691,4.338
JY2,2481.625,160.956,83.443,2.683,4.389
JY2,2481.75,162.608,83.343,2.676,4.424
JY2,2481.875,164.162,82.774,2.678,4.446
JY2,2482,163.193,81.463,2.688,4.402
JY2,2482.125,160.44,79.939,2.699,4.293
JY2,2482.25,158.597,79.108,2.706,4.204
JY2,2482.375,160.278,79.243,2.708,4.188
JY2,2482.5,165.082,80.109,2.705,4.228
JY2,2482.625,171.054,81.655,2.701,4.282
JY2,2482.75,175.681,83.327,2.697,4.313
JY2,2482.875,177.758,84.585,2.694,4.296
JY2,2483,178.515,85.286,2.692,4.238
JY2,2483.125,180.809,85.553,2.692,4.133
JY2,2483.25,184.061,85.481,2.695,3.993
JY2,2483.375,184.515,84.785,2.703,3.876
JY2,2483.5,180.196,83.514,2.712,3.804
