Well Name,Depth,Facies,GR,AC,DEN,CNL
JY41-5,2531.5,4,184.536,252.677,2.715,21.433
JY41-5,2531.625,4,185.313,252.583,2.718,21.622
JY41-5,2532.375,4,181.358,253.602,2.726,20.768
JY41-5,2532.5,4,178.836,253.917,2.729,20.543
JY41-5,2532.625,4,177.019,254.249,2.732,19.989
JY41-5,2533.25,4,176.368,255.209,2.748,22.22
JY41-5,2533.375,4,178.819,255.004,2.746,21.306
JY41-5,2533.5,4,180.659,254.698,2.742,20.152
JY41-5,2534,4,187.24,253.679,2.742,20.76
JY41-5,2534.125,4,186.378,253.541,2.733,20.938
JY41-5,2534.25,4,183.233,253.293,2.724,20.942
JY41-5,2534.875,4,177.201,251.546,2.725,20.646
JY41-5,2535,4,174.544,252.181,2.721,21.156
JY41-5,2535.125,4,173.179,253.212,2.714,21.792
JY41-5,2537,4,193.229,258.335,2.695,21.826
JY41-5,2537.125,4,194.289,258.538,2.695,21.375
JY41-5,2537.875,4,188.411,253.603,2.716,20.225
JY41-5,2538,4,187.172,253.741,2.717,20.075
JY41-5,2538.125,4,187.972,254.11,2.715,20.001
JY41-5,2538.875,4,186.225,259.364,2.715,21.006
JY41-5,2539,4,189.167,259.999,2.706,19.994
JY41-5,2539.125,4,190.624,260.012,2.696,19.177
JY41-5,2540,4,186.347,258.339,2.706,19.871
JY41-5,2540.125,4,185.876,258.724,2.702,20.362
JY41-5,2540.25,4,182.737,259.065,2.699,20.521
JY41-5,2541.5,4,198.955,259.219,2.71,19.314
JY41-5,2541.625,4,195.759,259.344,2.709,19.352
JY41-5,2541.75,4,193.833,259.454,2.709,19.167
JY41-5,2542.625,4,213.597,257.861,2.691,19.044
JY41-5,2542.75,4,213.005,257.608,2.684,19.249
JY41-5,2542.875,4,211.356,257.574,2.675,19.219
JY41-5,2543.375,4,208.361,259.004,2.651,18.332
JY41-5,2543.5,4,207.693,259.275,2.645,18.468
JY41-5,2543.625,4,204.293,259.335,2.643,18.153
JY41-5,2544.375,4,193.576,255.294,2.67,19.687
JY41-5,2544.5,4,190.745,255.548,2.675,19.836
JY41-5,2545.25,4,181.529,261.384,2.661,19.736
JY41-5,2545.375,4,183.592,261.623,2.664,18.919
JY41-5,2545.5,4,185.671,261.727,2.666,18.444
JY41-5,2546,4,186.347,258.892,2.645,19.365
JY41-5,2546.125,4,188.056,257.383,2.64,18.556
JY41-5,2546.25,4,189.358,255.968,2.64,17.899
JY41-5,2548,4,187.422,254.492,2.673,15.31
JY41-5,2549.125,4,227.265,272.069,2.622,18.995
JY41-5,2551,4,203.426,255.842,2.614,15.717
JY41-5,2552.25,4,236.308,262.619,2.651,17.923
JY41-5,2552.375,4,238.167,263.646,2.653,18.859
JY41-5,2553.375,4,189.345,266.035,2.69,18.002
JY41-5,2554,4,202.383,269.929,2.681,18.043
JY41-5,2556.875,6,208.796,277.032,2.649,20.826
JY41-5,2557,6,206.54,275.696,2.669,20.76
JY41-5,2557.125,6,211.89,275.105,2.669,19.957
JY41-5,2557.25,6,216.394,274.662,2.667,19.728
JY41-5,2557.375,6,219.059,273.804,2.663,19.939
JY41-5,2557.5,6,221.301,272.217,2.658,20.236
JY41-5,2557.625,6,222.288,269.969,2.659,20.257
JY41-5,2557.75,6,219.019,267.53,2.669,19.855
JY41-5,2557.875,6,212.127,265.33,2.686,18.928
JY41-5,2559,6,204.926,262.689,2.691,20.236
JY41-5,2559.125,4,213.233,266.65,2.67,21.723
JY41-5,2559.25,4,216.993,269.823,2.652,22.391
JY41-5,2560,4,217.087,271.58,2.641,21.995
JY41-5,2560.25,4,203.269,268.205,2.666,18.426
JY41-5,2561,4,203.825,266.862,2.669,18.35
JY41-5,2562.125,4,199.093,261.659,2.681,18.572
JY41-5,2562.25,4,196.023,259.733,2.665,18.474
JY41-5,2582.125,4,182.989,258.343,2.628,15.8
JY41-5,2583,3,177.455,259.094,2.616,17.547
JY41-5,2584,3,181.318,262.086,2.604,15.973
JY41-5,2586,3,175.467,257.939,2.587,14.508
JY41-5,2587,4,172.485,255.594,2.608,14.183
JY41-5,2587.125,4,175.887,254.226,2.612,13.704
JY41-5,2587.625,3,174.865,255.242,2.579,14.177
JY41-5,2587.75,3,177.89,255.735,2.579,14.128
JY41-5,2588.25,3,182.521,255.841,2.581,13.792
JY41-5,2588.375,3,182.611,256.147,2.573,13.862
JY41-5,2588.5,3,182.077,256.884,2.574,13.879
JY41-5,2590,3,196.425,261.303,2.587,14.499
JY41-5,2590.125,3,199.122,263.684,2.577,14.329
JY41-5,2590.75,3,207.846,267.631,2.6,15.637
JY41-5,2590.875,3,206.391,265.292,2.613,15.703
JY41-5,2591,3,206.396,263.224,2.602,14.308
