Well Name,Depth,GR,AC,LLS,LLD,Facies
JY4,2495.625,87.419,57.779,123.254,98.421,1
JY4,2495.75,84.766,59.965,74.421,60.679,1
JY4,2495.875,78.923,61.935,55.597,47.634,1
JY4,2496,72.172,63.602,58.179,51.678,1
JY4,2496.125,66.308,65.394,74.079,66.293,1
JY4,2496.25,62.899,66.227,93.997,83.486,1
JY4,2496.375,62.564,65.729,107.465,94.607,1
JY4,2496.5,64.238,65.464,108.787,95.585,1
JY4,2496.625,65.72,65.99,103.492,91.685,1
JY4,2496.75,66.024,66.957,101.808,91.774,1
JY4,2496.875,66.612,69.268,115.441,106.246,1
JY4,2497,69.236,72.686,156.129,145.537,1
JY4,2497.125,73.826,74.864,234.551,218.205,1
JY4,2497.25,78.074,74.976,341.215,313.754,1
JY4,2497.375,79.918,73.544,439.562,399.061,1
JY4,2497.5,79.109,70.927,489.751,440.585,1
JY4,2497.625,77.212,68.271,487.696,437.668,1
JY4,2497.75,75.767,67.103,464.346,418.9,1
JY4,2497.875,75.332,67.213,454.717,414.187,1
JY4,2498,75.51,67.582,467.144,428.934,1
JY4,2498.125,75.7,67.885,487.866,449.824,1
JY4,2498.25,75.629,68.395,497.053,459.419,1
JY4,2498.375,75.752,69.479,488.058,452.742,1
JY4,2498.5,76.801,71.196,466.104,434.651,1
JY4,2498.625,79.442,73.289,435.554,407.831,1
JY4,2498.75,83.416,75.264,394.903,370.224,1
JY4,2498.875,87.31,76.449,344.005,322.506,1
JY4,2499,88.671,76.505,293.118,275.499,1
JY4,2499.125,86.288,75.772,255.138,241.667,1
JY4,2499.25,81.853,74.439,239.659,229.88,1
JY4,2499.375,78.547,72.584,248.24,241.039,1
JY4,2499.5,77.531,70.642,271.987,265.793,1
JY4,2499.625,77.67,68.607,291.419,285.105,1
JY4,2499.75,77.662,66.406,291.983,286.034,1
JY4,2499.875,77.315,64.765,276.044,271.973,1
JY4,2500,76.5,64.279,257.851,256.513,1
JY4,2500.125,75.586,65.058,245.802,246.8,1
JY4,2500.25,75.899,66.958,238.573,241.137,1
JY4,2500.375,78.192,69.375,232.704,236.439,1
JY4,2500.5,81.359,71.495,226.631,231.599,1
JY4,2500.625,83.276,72.803,221.863,228.681,1
JY4,2500.75,83.162,72.954,226.922,236.616,1
JY4,2500.875,82.322,72.306,252.78,265.539,1
JY4,2501,82.275,71.726,301.159,314.288,1
JY4,2501.125,83.157,71.08,350.521,359.149,1
JY4,2501.25,84.115,69.602,375.665,375.788,1
JY4,2501.375,85.617,67.52,364.291,354.567,1
JY4,2501.5,90.369,65.302,320.896,302.853,1
JY4,2501.625,101.282,62.747,251.605,229.54,1
JY4,2501.75,118.675,60.624,167.973,148.163,1
JY4,2501.875,138.18,61.527,92.953,79.808,1
JY4,2502,154.12,66.009,46.046,39.595,1
JY4,2502.125,163.553,71.21,26.438,23.777,2
JY4,2502.25,167.04,75.027,20.611,19.45,2
JY4,2502.375,166.41,77.857,19.958,19.44,2
JY4,2502.5,163.491,78.757,21.972,21.78,2
JY4,2502.625,158.566,76.239,25.897,25.894,2
JY4,2502.75,149.092,72.247,32.233,32.444,1
JY4,2502.875,134.134,69.166,42.481,42.998,1
JY4,2503,116.831,66.456,58.876,59.806,1
JY4,2503.125,103.292,63.357,86.28,87.455,1
JY4,2503.25,96.154,60.639,125.642,125.952,1
JY4,2503.375,93.898,58.981,168.35,165.968,1
JY4,2503.5,93.115,58.172,198.08,192.15,1
JY4,2503.625,91.213,57.964,208.095,199.786,1
JY4,2503.75,87.516,58.322,207.801,199.505,1
JY4,2503.875,83.103,58.952,217.169,210.233,1
JY4,2504,79.431,59.276,248.864,242.26,1
JY4,2504.125,78.44,59.168,298.996,288.621,1
JY4,2504.25,82.425,58.973,335.587,317.065,1
