Well Name,Depth,Facies,GR,AC,DEN,CNL
JY41-5,2566.75,4,171.805,242.13,2.63,14.084
JY41-5,2566.875,4,171.844,242.635,2.633,14.091
JY41-5,2571.25,4,178.96,235.445,2.658,13.163
JY41-5,2571.375,4,164.553,231.103,2.691,12.755
JY41-5,2571.5,4,167.477,233.485,2.684,13.613
JY41-5,2572.125,4,171.507,235.824,2.676,14.173
JY41-5,2572.25,4,178.792,241.142,2.635,13.141
JY41-5,2572.375,4,180.409,241.286,2.633,13.671
JY41-5,2573,4,180.39,241.186,2.64,14.657
JY41-5,2573.125,4,179.445,238.496,2.636,14.667
JY41-5,2573.25,4,175.719,238.031,2.635,14.546
JY41-5,2576.375,5,169.647,235.154,2.653,13.01
JY41-5,2576.5,5,166.337,233.593,2.664,12.864
JY41-5,2576.625,5,166.2,234.225,2.66,13.618
JY41-5,2581,4,171.452,251.371,2.65,12.908
JY41-5,2581.125,4,188.632,258.277,2.633,16.837
JY41-5,2581.25,4,185.84,258.119,2.631,16.286
JY41-5,2582.125,4,182.989,258.343,2.628,15.8
JY41-5,2582.25,4,188.116,261.861,2.618,16.97
JY41-5,2582.375,4,183.574,260.598,2.616,17.293
JY41-5,2586.875,4,177.12,257.844,2.581,15.13
JY41-5,2587,4,172.485,255.594,2.608,14.183
JY41-5,2587.125,4,175.887,254.226,2.612,13.704
JY41-5,2589.25,5,184.195,257.827,2.573,13.822
JY41-5,2589.375,5,180.289,260.049,2.6,13.902
JY41-5,2589.5,5,187.911,260.764,2.595,14.151
JY41-5,2591.5,4,208.832,261.939,2.598,13.403
JY41-5,2591.625,4,224.591,264.146,2.609,16.589
JY41-5,2591.75,4,221.792,263.805,2.61,17.291
JY41-5,2592.125,4,219.453,262.434,2.611,17.278
JY41-5,2592.25,4,206.544,253.336,2.638,14.84
JY41-5,2592.375,4,198.637,250.072,2.648,14.104
JY41-5,2594,5,193.395,243.562,2.629,13.177
JY41-5,2594.125,5,204.756,239.814,2.612,11.95
JY41-5,2594.25,5,205.576,240.681,2.614,11.914
JY41-5,2594.875,5,202.104,241.135,2.622,12.022
JY41-5,2595,5,199.093,237.712,2.612,12.037
JY41-5,2620.5,4,134.219,251.71,2.532,14.315
JY41-5,2620.625,4,158.97,269.262,2.527,15.911
JY41-5,2620.75,4,168.608,273.406,2.535,16.95
JY56-z1,2864.75,4,186.334,239.097,2.729,19.99
JY56-z1,2865,4,183.139,237.273,2.724,18.82
JY56-z1,2865.375,4,180.382,236.383,2.714,17.588
JY56-z1,2865.5,4,178.409,237.074,2.71,17.545
JY56-z1,2865.625,4,178.192,238.154,2.703,17.407
JY56-z1,2868,4,198.527,264.848,2.688,19.396
JY56-z1,2868.25,4,202.489,264.334,2.702,18.806
JY56-z1,2868.375,4,200.754,263.861,2.708,19.299
JY56-z1,2868.625,4,198.02,262.39,2.706,19.351
JY56-z1,2868.75,4,199.364,261.685,2.701,18.796
JY56-z1,2869,4,203.933,261.522,2.695,18.61
JY56-z1,2869.25,4,200.315,263.08,2.689,19.113
JY56-z1,2869.375,4,199.042,263.997,2.688,19.239
JY56-z1,2869.5,4,200.104,264.448,2.689,19.268
JY56-z1,2869.75,4,203.809,263.232,2.699,19.294
JY56-z1,2869.875,4,202.465,261.771,2.701,19.179
JY56-z1,2870,4,198.784,259.954,2.698,18.719
