GR,SP,AC,DEN,CNL,K,—“–‘£®œ‡£©
196.875,151.933,253.184,2.558,13.806,2.728,1
201.49,151.85,254.494,2.557,13.43,2.745,1
204.439,152.235,255.558,2.56,12.901,2.779,1
204.158,153.172,255.435,2.563,12.552,2.815,1
199.854,154.559,253.041,2.566,12.339,2.844,1
191.476,156.077,248.557,2.569,11.965,2.838,1
182.745,157.447,245.123,2.572,11.355,2.776,1
177.904,158.471,244.055,2.576,10.909,2.682,1
180.647,159.198,244.524,2.577,10.898,2.572,1
189.015,159.793,246.284,2.578,11.27,2.389,1
198.056,160.519,248.852,2.578,11.659,2.203,1
202.088,161.525,250.248,2.581,11.772,2.148,1
200.906,162.865,249.611,2.585,11.586,2.259,1
196.245,164.367,248.016,2.591,11.429,2.439,1
191.263,165.856,247.132,2.597,11.581,2.584,1
188.566,167.169,247.076,2.603,11.982,2.654,1
190.396,168.303,247.329,2.603,12.346,2.71,1
196.183,169.319,248.524,2.598,12.42,2.768,1
202.868,170.326,250.877,2.591,12.196,2.808,1
206.914,171.384,252.55,2.583,11.818,2.828,1
207.291,172.48,251.464,2.577,11.545,2.876,1
203.996,173.533,248.337,2.574,11.574,2.971,1
198.602,174.468,245.924,2.575,11.811,3.061,1
193.838,175.22,245.064,2.576,11.962,3.1,1
192.933,175.809,245.738,2.574,11.914,3.127,1
197.172,176.287,248.354,2.566,11.804,3.158,1
204.06,176.723,251.778,2.553,11.838,3.15,1
209.703,177.194,253.993,2.541,12.074,3.074,1
211.5,177.754,254.698,2.533,12.494,2.969,1
210.026,178.447,254.892,2.53,12.916,2.877,1
207.021,179.255,255.229,2.532,13.143,2.844,1
204.553,180.138,255.7,2.537,13.156,2.857,1
203.621,181,256.037,2.543,13.148,2.879,1
203.081,181.749,256.178,2.547,13.112,2.892,1
201.408,182.288,256.412,2.547,12.837,2.9,1
198.584,182.579,256.762,2.543,12.421,2.907,1
197.486,182.648,256.803,2.537,12.201,2.898,1
199.144,182.535,256.593,2.532,12.346,2.873,1
200.825,182.361,256.646,2.529,12.645,2.863,1
199.484,182.224,257.025,2.53,12.84,2.884,1
195.862,182.244,257.427,2.532,12.815,2.91,1
193.378,182.484,257.677,2.533,12.6,2.904,1
195.024,182.996,257.572,2.532,12.2,2.855,1
199.44,183.803,256.958,2.531,11.706,2.771,1
201.971,184.844,255.72,2.531,11.222,2.66,1
198.881,186.075,253.767,2.532,10.817,2.513,1
189.954,187.415,251.649,2.531,10.551,2.304,1
179.73,188.796,250.418,2.53,10.489,2.101,1
173.168,190.172,249.795,2.533,10.655,1.988,1
172.133,191.531,249.371,2.538,10.923,1.987,1
174.314,192.895,249.049,2.543,11.057,2.015,1
175.692,194.324,247.99,2.544,10.924,2.045,1
173.819,195.866,245.91,2.541,10.704,2.109,1
170.107,197.555,244.833,2.539,10.643,2.201,1
166.552,199.399,245.746,2.543,10.829,2.27,1
164.722,201.327,247.212,2.549,11.23,2.282,1
165.266,203.256,247.338,2.549,11.713,2.262,1
167.934,205.08,246.477,2.543,11.862,2.227,1
171.757,206.751,245.444,2.531,11.41,2.2,1
176.881,208.241,244.913,2.52,10.734,2.18,1
184.546,209.585,246.3,2.511,10.581,2.136,1
193.356,210.832,249.354,2.511,11.187,2.083,1
199.18,212.018,251.517,2.518,11.985,2.055,1
200.23,213.17,251.564,2.523,12.139,2.061,1
199.09,214.29,249.757,2.521,11.407,2.075,1
198.198,215.361,247.111,2.512,10.447,2.081,1
197.305,216.365,245.833,2.505,9.876,2.066,1
196.232,217.267,247.136,2.504,9.892,2.035,1
196.303,218.001,249.751,2.507,10.266,1.993,1
198.449,218.52,251.697,2.511,10.778,1.917,1
201.782,218.75,252.805,2.513,11.163,1.817,1
205.192,218.661,253.556,2.51,11.239,1.728,1
