 Facies,Well Name,Depth,GR,AC,DEN,CNL,LLS,LLD,K
2,JY11-4,2355.689941,218.656,252.587,2.491,11.216,80.486,87.231,1.693
2,JY11-4,2356.860107,356.106,258.039,2.472,13.389,35.627,39.363,1.533
1,JY11-4,2357.959961,190.887,255.75,2.511,12.363,13.055,14.354,1.963
1,JY11-4,2359.060059,177.142,245.377,2.508,9.425,33.329,36.746,1.167
2,JY11-4,2359.74,174.749,249.314,2.498,10.891,50.362,54.643,2.142
2,JY11-4,2361.56,123.442,260.115,2.56,15.311,11.961,11.629,2.206
3,JY11-4,2362.39,182.967,284.712,2.545,18.963,26.908,27.783,4.429
6,JY11-4,2363.629883,51.243,172.611,2.792,5.79,281.468,283.906,1.213
3,JY41-5,2494.54,165.888,238.551,2.742,18.609,36.016,35.941,4.437
1,JY41-5,2496.69,165.382,240.761,2.731,19.685,36.687,34.052,5.155
2,JY41-5,2502.21,170.613,233.924,2.718,17.547,40.182,37.677,5.342
2,JY41-5,2514.4,149.604,223.473,2.704,16.59,60.834,49.625,3.212
3,JY41-5,2516.22,171.798,236.415,2.714,18.067,46.949,37.357,4.442
3,JY41-5,2520.18,188.447,249.275,2.725,21.748,34.515,28.796,4.147
3,JY41-5,2521.14,176.183,238.368,2.7,17.181,39.414,33.401,5.1
3,JY41-5,2522.26,184.508,243.803,2.704,19.379,29.618,24.775,5.512
3,JY41-5,2523.35,191.613,253.397,2.718,20.88,29.421,25.062,4.467
3,JY41-5,2524.33,183.164,254.525,2.709,20.741,34.494,29.981,5.221
3,JY41-5,2525.25,175.701,251.445,2.705,20.67,33.169,30.517,5.008
3,JY41-5,2526.3,180.339,254.521,2.731,20.893,24.605,23.192,5.089
3,JY41-5,2527.2,179.41,254.761,2.716,20.503,31.51,29.965,5.244
3,JY41-5,2528.13,175.971,249.991,2.719,20.25,26.513,26.104,5.269
3,JY41-5,2529.02,178.026,248.254,2.714,20.092,32.878,31.96,4.335
3,JY41-5,2529.82,180.642,248.073,2.725,21.299,29.633,28.449,4.916
3,JY41-5,2530.8,177.418,250.406,2.728,19.219,32.444,30.772,4.678
3,JY41-5,2531.56,184.536,252.677,2.715,21.433,30.845,29.403,5.147
3,JY41-5,2532.44,178.836,253.917,2.729,20.543,30.523,28.998,5.478
3,JY41-5,2533.33,178.819,255.004,2.746,21.306,29.364,27.738,5.909
3,JY41-5,2534.09,186.378,253.541,2.733,20.938,18.956,18.604,5.144
