Well Name,Depth,GR,DEN,AC,CNL,Facies
JY37-4HF,3009.079,202.994,2.705,237.633,20.813,2
JY37-4HF,3009.204,201.359,2.704,237.305,20.717,2
JY37-4HF,3009.329,198.956,2.704,236.606,20.732,2
JY37-4HF,3009.454,196.704,2.704,235.788,20.829,2
JY37-4HF,3009.579,195.05,2.705,235.174,20.906,2
JY37-4HF,3009.704,194.353,2.707,234.956,20.868,2
JY37-4HF,3009.829,194.828,2.708,235.074,20.695,2
JY37-4HF,3009.954,196.378,2.709,235.289,20.466,2
JY37-4HF,3010.079,198.33,2.71,235.332,20.31,2
JY37-4HF,3010.204,199.842,2.709,235.098,20.331,2
JY37-4HF,3010.329,200.638,2.708,234.711,20.557,2
JY37-4HF,3010.454,200.804,2.707,234.436,20.913,2
JY37-4HF,3010.579,200.553,2.707,234.484,21.238,2
JY37-4HF,3010.704,200.119,2.708,234.858,21.365,2
JY37-4HF,3010.829,199.476,2.71,235.336,21.23,2
JY37-4HF,3010.954,198.419,2.712,235.614,20.91,2
JY37-4HF,3011.079,196.675,2.714,235.509,20.588,2
JY37-4HF,3011.204,194.288,2.715,235.081,20.439,2
JY37-4HF,3011.329,191.929,2.713,234.588,20.514,2
JY37-4HF,3011.454,190.495,2.711,234.316,20.715,2
JY37-4HF,3011.579,190.89,2.71,234.397,20.882,2
JY37-4HF,3011.704,193.536,2.711,234.726,20.924,2
JY37-4HF,3011.829,197.113,2.713,235.04,20.871,2
JY37-4HF,3011.954,199.036,2.715,235.101,20.842,2
JY37-4HF,3012.079,198.178,2.717,234.877,20.956,2
JY37-4HF,3012.204,196.078,2.719,234.572,21.247,2
JY37-4HF,3012.329,194.817,2.719,234.485,21.617,2
JY37-4HF,3012.454,194.861,2.719,234.788,21.892,2
JY37-4HF,3012.579,195.786,2.72,235.406,21.927,2
JY37-4HF,3012.704,197.175,2.721,236.064,21.698,2
JY37-4HF,3012.829,198.307,2.722,236.442,21.296,2
JY37-4HF,3012.954,198.86,2.721,236.38,20.869,2
JY37-4HF,3013.079,199.289,2.719,235.979,20.555,2
JY37-4HF,3013.204,199.739,2.717,235.539,20.417,2
JY37-4HF,3013.329,199.485,2.714,235.335,20.42,2
JY37-4HF,3013.454,198.213,2.713,235.427,20.478,2
JY37-4HF,3013.579,196.986,2.713,235.624,20.529,2
JY37-4HF,3013.704,196.123,2.714,235.614,20.571,2
JY37-4HF,3013.829,194.872,2.715,235.171,20.635,2
JY37-4HF,3013.954,194.872,2.716,234.325,20.751,2
JY37-4HF,3014.079,197.436,2.715,233.367,20.925,2
JY37-4HF,3014.204,197.436,2.714,232.691,21.124,2
JY37-4HF,3014.329,197.436,2.713,232.56,21.285,2
JY37-4HF,3014.454,194.094,2.713,232.976,21.353,2
JY37-4HF,3014.579,192.308,2.713,233.667,21.33,2
JY37-4HF,3014.704,192.308,2.714,234.293,21.274,2
JY37-4HF,3014.829,190.068,2.714,234.637,21.254,2
JY37-4HF,3014.954,195.642,2.714,234.73,21.294,2
JY37-4HF,3015.079,197.096,2.712,234.774,21.362,2
JY37-4HF,3015.204,197.042,2.71,234.936,21.384,2
JY37-4HF,3015.329,196.605,2.71,235.162,21.302,2
JY37-4HF,3015.454,196.073,2.711,235.153,21.116,2
JY37-4HF,3015.579,195.938,2.714,234.542,20.875,2
JY37-4HF,3015.704,195.874,2.721,233.103,20.619,2
JY37-4HF,3015.829,194.448,2.731,230.969,20.362,2
JY37-4HF,3015.954,190.511,2.74,228.715,20.121,2
JY37-4HF,3016.079,185.357,2.746,227.071,19.969,2
JY37-4HF,3016.204,182.381,2.749,226.589,20.01,2
JY37-4HF,3016.329,183.303,2.747,227.349,20.312,2
JY37-4HF,3016.454,186.52,2.741,229.041,20.837,2
JY37-4HF,3016.579,189.326,2.733,231.053,21.436,2
JY37-4HF,3016.704,190.853,2.725,232.763,21.959,2
JY37-4HF,3016.829,191.665,2.719,233.818,22.335,2
JY37-4HF,3016.954,192.057,2.715,234.243,22.598,2
JY37-4HF,3017.079,191.857,2.712,234.284,22.796,2
JY37-4HF,3017.204,191.223,2.71,234.229,22.919,2
JY37-4HF,3017.329,190.414,2.707,234.288,22.903,2
JY37-4HF,3017.454,189.265,2.703,234.514,22.72,2
JY37-4HF,3017.579,187.623,2.699,234.812,22.447,2
JY37-4HF,3017.704,185.97,2.695,235.024,22.234,2
JY37-4HF,3017.829,184.961,2.69,235.036,22.198,2
JY37-4HF,3017.954,184.869,2.686,234.808,22.326,2
JY37-4HF,3018.079,185.608,2.685,234.355,22.48,2
JY37-4HF,3018.204,186.631,2.686,233.726,22.471,2
JY37-4HF,3018.329,187.586,2.691,232.996,22.186,2
JY37-4HF,3018.454,189.259,2.697,232.223,21.643,2
JY37-4HF,3018.579,192.29,2.703,231.451,20.985,2
JY37-4HF,3018.704,195.753,2.709,230.738,20.389,2
JY37-4HF,3018.829,197.659,2.713,230.166,19.964,2
JY37-4HF,3018.954,197.158,2.716,229.809,19.669,2
JY37-4HF,3019.079,195.264,2.72,229.702,19.398,2
JY37-4HF,3019.204,193.595,2.724,229.856,19.152,2
JY37-4HF,3019.329,193.314,2.728,230.196,19.074,2
JY37-4HF,3019.454,194.297,2.733,230.586,19.292,2
JY37-4HF,3019.579,195.375,2.737,230.913,19.72,2
