GR,SP,AC,DEN,CNL,K,Core Lithology
172.388,8.163,245.982,2.736,19.139,4.498,2
176.535,7.732,246.692,2.731,20.118,4.656,2
179.54,7.619,247.462,2.726,21.053,4.811,2
180.642,7.762,248.073,2.725,21.299,4.916,2
180.674,8.197,248.408,2.723,20.965,4.982,2
180.344,8.856,248.469,2.72,20.597,5.028,2
179.916,9.406,248.462,2.72,20.422,5.049,2
179.81,9.461,248.614,2.725,20.474,5.047,2
179.517,8.794,249.017,2.73,20.426,4.959,2
178.624,7.239,249.629,2.731,19.956,4.8,2
177.418,5.202,250.406,2.728,19.219,4.678,2
177.107,3.119,251.216,2.727,18.727,4.633,2
179.01,1.596,251.928,2.727,18.961,4.616,2
181.757,0.858,252.407,2.727,19.691,4.624,2
183.638,0.87,252.665,2.722,20.569,4.721,2
184.077,1.294,252.736,2.717,21.149,4.928,2
184.536,1.739,252.677,2.715,21.433,5.147,2
185.313,2.137,252.583,2.718,21.622,5.322,2
184.899,2.409,252.543,2.723,21.731,5.517,2
183.118,2.47,252.612,2.727,21.489,5.693,2
181.212,2.258,252.771,2.729,20.923,5.777,2
181.177,1.831,253.006,2.729,20.546,5.769,2
182.151,1.196,253.292,2.727,20.612,5.677,2
181.358,0.448,253.602,2.726,20.768,5.551,2
178.836,-0.015,253.917,2.729,20.543,5.478,2
177.019,0.134,254.249,2.732,19.989,5.503,2
177.026,1.062,254.598,2.734,19.552,5.627,2
176.738,2.477,254.915,2.735,19.738,5.795,2
175.155,3.999,255.149,2.739,20.697,5.91,2
174.656,5.116,255.262,2.745,21.883,5.963,2
176.368,5.499,255.209,2.748,22.22,5.972,2
178.819,4.972,255.004,2.746,21.306,5.909,2
180.659,3.77,254.698,2.742,20.152,5.761,2
182.103,2.311,254.366,2.742,19.523,5.569,2
183.784,1.002,254.056,2.745,19.67,5.392,2
185.894,0.018,253.827,2.746,20.255,5.252,2
187.24,-0.571,253.679,2.742,20.76,5.168,2
186.378,-0.67,253.541,2.733,20.938,5.144,2
183.233,-0.385,253.293,2.724,20.942,5.182,2
179.574,0.155,252.892,2.719,21.018,5.26,2
178.277,0.877,252.35,2.72,21.126,5.348,2
178.854,1.767,251.795,2.724,20.94,5.412,2
179.085,2.773,251.45,2.726,20.633,5.458,2
177.201,3.702,251.546,2.725,20.646,5.493,2
174.544,4.404,252.181,2.721,21.156,5.521,2
173.179,4.77,253.212,2.714,21.792,5.536,2
174.085,4.724,254.427,2.707,21.598,5.536,2
176.904,4.26,255.516,2.7,20.638,5.528,2
180.723,3.479,256.251,2.696,19.676,5.529,2
183.563,2.715,256.415,2.695,19.49,5.54,2
184.3,2.189,256.082,2.696,20.009,5.528,2
182.827,2.025,255.4,2.699,20.677,5.492,2
181.282,2.147,254.563,2.699,21.085,5.462,2
181.363,2.42,253.808,2.696,21.292,5.436,2
183.509,2.614,253.379,2.693,21.234,5.385,2
185.508,2.589,253.491,2.69,20.921,5.332,2
185.793,2.26,254.084,2.69,20.596,5.298,2
185.84,1.802,255.083,2.69,20.7,5.254,2
187.532,1.397,256.317,2.691,21.236,5.17,2
190.692,1.141,257.522,2.693,21.78,5.064,2
193.229,0.96,258.335,2.695,21.826,4.971,2
194.289,0.813,258.538,2.695,21.375,4.918,2
193.549,0.774,258.104,2.692,20.689,4.872,2
191.443,0.833,257.074,2.689,20.149,4.854,2
189.676,0.991,255.805,2.691,19.917,4.871,2
189.848,1.281,254.627,2.7,19.991,4.933,2
189.903,1.638,253.877,2.71,20.171,5.011,2
188.411,1.928,253.603,2.716,20.225,5.093,2
187.172,2.032,253.741,2.717,20.075,5.167,2
187.972,2.041,254.11,2.715,20.001,5.227,2
188.771,2.089,254.6,2.713,20.122,5.24,2
186.435,2.117,255.244,2.712,20.229,5.202,2
182.58,1.946,256.097,2.712,20.343,5.133,2
180.932,1.324,257.149,2.715,20.779,5.066,2
182.753,0.232,258.325,2.718,21.241,5.018,2
186.225,-1.283,259.364,2.715,21.006,5.001,2
189.167,-3.02,259.999,2.706,19.994,5.045,2
190.624,-4.561,260.012,2.696,19.177,5.115,2
190.696,-5.506,259.558,2.698,19.031,5.172,2
189.525,-5.653,258.825,2.711,19.285,5.18,2
187.759,-5.192,258.133,2.726,19.36,5.134,2
185.788,-4.384,257.731,2.732,19.144,5.035,2
184.493,-3.663,257.72,2.725,18.985,4.926,2
184.832,-3.347,257.974,2.714,19.232,4.85,2
186.347,-3.658,258.339,2.706,19.871,4.853,2
185.876,-4.346,258.724,2.702,20.362,4.928,2
182.737,-5,259.065,2.699,20.521,5.044,2
180.361,-5.101,259.353,2.695,20.436,5.215,2
183.457,-4.579,259.601,2.692,20.268,5.455,2
190.386,-3.613,259.794,2.691,19.956,5.702,2
195.353,-2.542,259.875,2.692,19.429,5.857,2
196.697,-1.706,259.79,2.695,18.936,5.925,2
197.021,-1.432,259.585,2.698,18.741,5.932,2
198.758,-1.84,259.343,2.701,18.86,5.877,2
200.827,-2.716,259.181,2.706,19.043,5.786,2
201.116,-3.897,259.142,2.71,19.19,5.687,2
198.955,-5.265,259.219,2.71,19.314,5.58,2
195.759,-6.64,259.344,2.709,19.352,5.455,2
193.833,-7.586,259.454,2.709,19.167,5.324,2
194.884,-7.806,259.482,2.712,18.827,5.214,2
198.246,-7.248,259.416,2.714,18.639,5.159,2
201.909,-6.004,259.262,2.714,18.653,5.143,2
205.135,-4.482,259.004,2.71,18.69,5.186,2
208.411,-3.11,258.651,2.704,18.72,5.334,2
211.798,-2.371,258.237,2.697,18.829,5.473,2
213.597,-2.339,257.861,2.691,19.044,5.473,2
213.005,-2.829,257.608,2.684,19.249,5.372,2
211.356,-3.496,257.574,2.675,19.219,5.183,2
210.136,-4.175,257.797,2.666,18.82,4.929,2
209.248,-4.744,258.19,2.66,18.243,4.636,2
208.585,-5.108,258.625,2.656,18.074,4.39,2
208.361,-5.27,259.004,2.651,18.332,4.18,2
207.693,-5.294,259.275,2.645,18.468,4.06,2
204.293,-5.232,259.335,2.643,18.153,4.016,2
198.504,-5.058,259.101,2.647,17.744,4.048,2
193.786,-4.759,258.517,2.655,17.768,4.127,2
192.424,-4.423,257.608,2.66,18.204,4.208,2
193.474,-4.115,256.586,2.663,18.846,4.258,2
194.415,-3.867,255.697,2.666,19.384,4.334,2
193.576,-3.709,255.294,2.67,19.687,4.472,2
190.745,-3.765,255.548,2.675,19.836,4.635,2
187.679,-4.082,256.479,2.679,20.117,4.788,2
186.056,-4.538,257.767,2.679,20.533,4.948,2
185.394,-4.967,259.078,2.675,20.803,5.093,2
183.682,-5.334,260.16,2.667,20.81,5.219,2
181.501,-5.597,260.92,2.662,20.491,5.344,2
181.529,-5.527,261.384,2.661,19.736,5.495,2
183.592,-4.977,261.623,2.664,18.919,5.624,2
185.671,-3.787,261.727,2.666,18.444,5.668,2
186.191,-1.962,261.646,2.666,18.673,5.606,2
185.851,0.155,261.191,2.661,19.313,5.485,2
185.565,2.009,260.258,2.654,19.743,5.33,2
186.347,2.848,258.892,2.645,19.365,5.159,2
175.358,-3.508,229.439,2.667,13.697,3.937,4
172.998,-2.812,228.336,2.677,13.28,3.944,4
168.736,-2.042,228.206,2.688,12.674,3.995,4
165.104,-1.277,229.232,2.693,12.37,4.058,4
164.553,-0.623,231.103,2.691,12.755,4.126,4
167.477,-0.184,233.485,2.684,13.613,4.207,4
171.507,-0.011,235.824,2.676,14.173,4.289,4
174.894,-0.117,237.783,2.669,14.055,4.34,4
176.83,-0.499,239.234,2.662,13.643,4.346,4
177.408,-1.195,240.21,2.653,13.328,4.32,4
177.555,-2.168,240.804,2.643,13.118,4.275,4
178.792,-3.172,241.142,2.635,13.141,4.192,4
180.409,-4.041,241.286,2.633,13.671,4.05,4
180.39,-4.678,241.186,2.64,14.657,3.887,4
179.1,-5.081,240.858,2.652,15.385,3.743,4
178.63,-5.234,240.381,2.659,15.426,3.629,4
179.813,-5.213,239.765,2.655,15.016,3.541,4
180.736,-5.065,239.1,2.644,14.74,3.487,4
179.445,-4.703,238.496,2.636,14.667,3.472,4
175.719,-4.039,238.031,2.635,14.546,3.486,4
171.511,-3.107,237.796,2.637,14.311,3.512,4
169.34,-2.06,237.848,2.639,14.091,3.526,4
169.93,-1.093,238.179,2.64,13.994,3.527,4
171.817,-0.318,238.65,2.642,13.963,3.535,4
173.406,0.216,239.179,2.645,13.91,3.579,4
192.871,8.518,243.622,2.622,14.51,3.486,1
191.861,9.453,242.734,2.611,14.338,3.408,1
187.894,10.482,241.614,2.597,13.152,3.292,1
182.962,11.656,240.586,2.588,11.922,3.156,1
178.033,13,239.958,2.586,11.279,3.076,1
174.576,14.353,239.94,2.589,11.376,3.114,1
173.579,15.397,240.417,2.592,11.908,3.214,1
174.902,15.795,241.159,2.593,12.47,3.285,1
176.678,15.466,241.866,2.592,12.736,3.319,1
177.352,14.513,242.261,2.591,12.671,3.329,1
177.064,13.112,242.365,2.589,12.319,3.32,1
177.341,11.598,242.51,2.587,11.764,3.287,1
179.621,10.383,242.955,2.588,11.172,3.226,1
186.635,9.762,243.763,2.594,10.958,3.227,1
197.623,9.754,244.817,2.61,11.384,3.363,1
208.452,10.295,245.81,2.631,12.44,3.554,1
211.581,11.263,246.398,2.647,13.597,3.616,1
206.079,12.403,246.391,2.647,14.077,3.575,1
196.94,13.367,245.871,2.637,13.558,3.507,1
191.039,13.971,244.953,2.626,12.703,3.397,1
189.561,14.255,243.856,2.621,12.205,3.244,1
190.65,14.317,242.753,2.623,12.21,3.147,1
192.043,14.303,241.893,2.627,12.212,3.152,1
193.831,14.426,241.515,2.625,11.824,3.234,1
196.171,14.85,241.777,2.616,11.114,3.329,1
198.655,15.53,242.596,2.599,10.654,3.413,1
201.516,16.269,243.558,2.581,10.762,3.482,1
205.554,16.896,244.344,2.567,11.347,3.505,1
210.758,17.309,244.773,2.561,11.933,3.471,1
215.668,17.398,244.925,2.561,12.203,3.423,1
218.968,17.094,245.006,2.562,12.161,3.409,1
221.128,16.437,245.276,2.561,12.064,3.435,1
221.977,15.527,245.749,2.559,12.089,3.47,1
220.749,14.532,246.205,2.559,12.283,3.494,1
217.742,13.594,246.391,2.56,12.505,3.505,1
214.201,12.859,246.23,2.559,12.521,3.484,1
212.029,12.378,245.724,2.556,12.309,3.397,1
210.86,12.015,245.095,2.553,12.03,3.261,1
208.536,11.588,244.58,2.554,11.922,3.138,1
204.895,11.046,244.382,2.559,12.068,3.05,1
201.955,10.505,244.504,2.565,12.413,2.994,1
202.793,10.091,244.978,2.57,12.78,2.978,1
206.82,9.897,245.702,2.577,12.971,2.992,1
211.07,10.097,246.395,2.582,12.943,3.007,1
213.762,10.75,246.769,2.582,12.756,3.013,1
215.49,11.753,246.738,2.572,12.485,3.016,1
215.713,12.981,246.327,2.558,12.197,3.012,1
212.872,14.285,245.661,2.549,12.014,2.984,1
207.23,15.458,245.14,2.547,12.044,2.917,1
201.764,16.193,245.028,2.55,12.336,2.836,1
199.138,16.388,245.356,2.552,12.655,2.769,1
199.345,16.17,245.908,2.55,12.757,2.719,1
202.089,15.736,246.521,2.544,12.515,2.683,1
206.246,15.262,246.97,2.542,12.184,2.671,1
210.139,14.834,247.175,2.544,11.982,2.707,1
211.898,14.468,247.156,2.55,11.929,2.782,1
211.615,14.141,246.821,2.555,11.982,2.856,1
209.679,13.808,245.937,2.559,12.18,2.902,1
205.111,13.459,244.332,2.563,12.393,2.921,1
197.227,13.17,242.312,2.57,12.343,2.93,1
188.447,13.087,240.288,2.579,11.794,2.951,1
183.769,13.228,238.97,2.589,10.997,3.012,1
185.047,13.484,238.803,2.591,10.337,3.117,1
191.065,13.806,239.819,2.583,10.107,3.231,1
198.632,14.2,241.459,2.568,10.273,3.378,1
207.178,14.607,242.944,2.557,10.787,3.673,1
215.454,14.959,243.753,2.556,11.443,4.057,1
221.195,15.319,243.723,2.564,11.9,4.299,1
223.301,15.817,243.175,2.574,12.02,4.322,1
223.859,16.484,242.51,2.583,12.087,4.253,1
224.631,17.287,242.015,2.585,12.404,4.181,1
224.038,18.1,241.77,2.58,12.869,4.084,1
220.103,18.617,241.797,2.574,13.056,3.933,1
214.896,18.445,241.951,2.571,12.882,3.744,1
212.919,17.252,242.216,2.573,12.488,3.586,1
215.747,15.126,242.794,2.575,11.969,3.494,1
220.643,12.532,243.725,2.569,11.408,3.418,1
223.85,10.147,244.903,2.556,11.124,3.301,1
226.116,8.547,246.169,2.544,11.322,3.154,1
229.014,7.968,247.395,2.541,11.897,3.031,1
231.477,8.308,248.397,2.545,12.418,2.944,1
230.913,9.161,249.027,2.549,12.636,2.835,1
227.116,10.099,249.364,2.549,12.626,2.682,1
224.172,10.872,249.535,2.545,12.515,2.56,1
