Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS
JY11-4,2295.875,4,191.198,288.088,2.627,19.86,27.377
JY11-4,2296,4,196.747,288.147,2.644,19.934,23.985
JY11-4,2297,4,153.892,237.748,2.687,13.277,34.03
JY11-4,2297.125,4,144.007,234.656,2.682,12.981,44.388
JY11-4,2297.25,4,153.408,244.324,2.64,14.506,50.461
JY11-4,2299.125,4,153.868,237.22,2.645,14.828,52.881
JY11-4,2299.25,4,152.584,236.018,2.649,14.334,52.26
JY11-4,2299.375,4,144.601,233.366,2.661,13.783,58.322
JY11-4,2300,4,143.744,233.068,2.658,13.873,59.621
JY11-4,2300.125,4,140.831,232.61,2.661,14.013,59.865
JY11-4,2300.25,4,147.502,233.93,2.627,14.675,53.685
JY11-4,2300.875,3,148.899,233.436,2.625,14.35,53.286
JY11-4,2301,3,148.456,232.837,2.629,14.037,53.723
JY11-4,2301.125,3,149.76,241.222,2.647,14.143,52.761
JY11-4,2301.625,3,149.311,241.346,2.648,14.308,51.827
JY11-4,2301.75,3,148.926,240.264,2.649,14.43,51.32
JY11-4,2301.875,3,153.795,238.648,2.647,14.365,48.576
JY11-4,2302.875,4,154.394,240.498,2.646,14.332,46.984
JY11-4,2303,4,155.773,242.861,2.643,14.597,46.056
JY11-4,2303.125,4,156.869,244.405,2.638,14.913,46.237
JY11-4,2303.875,4,156.614,245.279,2.633,14.972,47.388
JY11-4,2304,4,155.87,245.825,2.627,14.75,49.008
JY11-4,2304.125,4,155.477,245.856,2.622,14.375,50.303
JY11-4,2304.75,3,156.749,245.55,2.619,13.992,51.034
JY11-4,2304.875,3,159.43,245.025,2.619,13.721,51.394
JY11-4,2305,3,161.593,243.657,2.623,13.681,52.022
JY11-4,2305.875,4,160.766,241.068,2.628,13.755,53.463
JY11-4,2306,4,156.531,237.795,2.636,13.709,56.054
JY11-4,2306.125,4,151.433,235.002,2.645,13.424,59.161
JY11-4,2307,4,149.198,233.557,2.652,13.066,61.903
JY11-4,2307.125,4,151.132,234.067,2.652,12.892,63.061
JY11-4,2307.25,4,156.826,236.277,2.647,13.075,62.36
JY11-4,2307.375,4,162.899,239.164,2.64,13.52,60.222
JY11-4,2307.5,4,166.481,241.32,2.636,13.968,57.941
JY11-4,2307.625,4,167.077,242.35,2.634,14.106,56.342
JY11-4,2307.75,4,166.698,242.633,2.634,13.897,55.546
JY11-4,2307.875,4,158.243,241.83,2.632,13.413,54.87
JY11-4,2308,4,154.257,241.027,2.632,13.804,54.864
JY11-4,2308.125,4,152.184,239.881,2.636,14.246,55.005
JY11-4,2308.25,4,149.925,234.669,2.634,13.876,56.107
JY11-4,2308.375,4,152.562,236.069,2.635,13.681,54.838
JY11-4,2308.5,4,154.054,238.551,2.635,13.795,53.11
JY11-4,2308.625,4,156.777,244.683,2.626,14.578,50.575
JY11-4,2308.75,4,159.148,247.228,2.622,14.722,50.566
JY11-4,2308.875,4,161.285,248.519,2.62,14.539,51.099
JY11-4,2309,4,162.185,248.682,2.617,14.226,51.535
JY11-4,2309.125,4,162.264,248.418,2.612,14.038,51.674
JY11-4,2309.25,3,162.393,247.679,2.607,14.056,50.937
JY11-4,2309.375,4,162.331,240.733,2.615,13.957,32.954
JY11-4,2309.875,4,163.005,239.587,2.617,13.874,32.547
JY11-4,2310,4,162.535,239.412,2.617,13.828,35.528
JY11-4,2310.125,4,214.533,249.866,2.645,16.975,11.049
JY11-4,2310.75,4,223.144,246.406,2.649,16.799,12.189
JY11-4,2310.875,4,218.058,241.36,2.652,15.681,15.916
JY11-4,2311,4,170.755,241.451,2.625,14.683,44.366
JY11-4,2311.625,4,173.461,240.528,2.632,15.227,18.869
JY11-4,2311.75,4,175.602,239.085,2.63,15.17,18.104
JY11-4,2311.875,4,178.363,238.04,2.628,14.698,20.81
JY11-4,2312.375,3,179.257,236.032,2.629,14.196,25.767
JY11-4,2312.5,3,177.016,234.305,2.63,13.983,31.621
JY11-4,2312.625,3,172.866,234.067,2.627,14.063,36.777
JY11-4,2313.5,3,169.885,234.033,2.619,14.239,40.952
JY11-4,2313.625,3,163.122,245.269,2.62,16.123,28.942
JY11-4,2313.75,3,164.722,245.513,2.631,15.756,19.414
JY11-4,2314.625,4,165.655,245.628,2.641,15.227,13.425
JY11-4,2314.75,4,163.354,237.989,2.623,14.939,6.824
JY11-4,2314.875,4,163.965,238.676,2.624,14.712,11.353
JY11-4,2315,4,165.205,239.877,2.628,14.54,21.747
JY11-4,2315.125,4,156.273,237.38,2.644,14.409,57.838
JY11-4,2315.25,4,156.191,235.604,2.651,14.142,59.21
JY11-4,2315.375,4,155.07,232.663,2.659,13.629,61.137
JY11-4,2315.5,4,161.454,238.713,2.66,14.409,48.49
JY11-4,2315.625,4,164.328,241.12,2.655,14.766,41.379
JY11-4,2315.75,4,163.985,241.032,2.653,14.65,36.285
JY11-4,2315.875,4,160.193,238.127,2.627,14.017,19.094
JY11-4,2316.75,3,160.856,237.507,2.627,13.713,19.799
JY11-4,2316.875,3,162.622,236.828,2.63,13.499,26.301
JY11-4,2317,3,157.995,243.378,2.641,13.744,55.158
JY11-4,2317.75,3,160.327,243.024,2.633,13.831,52.893
JY11-4,2317.875,3,162.228,240.052,2.628,13.865,50.316
JY11-4,2318,3,169.966,260.624,2.613,15.14,40.383
JY11-4,2318.75,3,167.504,263.382,2.613,14.763,41.565
JY11-4,2318.875,3,166.597,266.186,2.615,14.536,39.629
JY11-4,2319,3,178.419,270.606,2.616,15.748,22.04
JY11-4,2319.625,3,180.344,270.149,2.608,15.96,22.133
JY11-4,2319.75,3,177.43,268.891,2.602,15.859,23.445
JY11-4,2319.875,3,172.414,271.85,2.605,16.072,36.761
JY11-4,2320.875,4,171.81,270.648,2.603,16.687,43.757
JY11-4,2321,4,169.281,269.024,2.602,16.896,47.789
JY11-4,2321.125,4,166.736,266.175,2.605,15.428,47.026
JY11-4,2322.375,3,167.894,266.695,2.602,15.444,42.872
JY11-4,2322.5,3,168.561,267.001,2.599,15.605,38.809
JY11-4,2322.625,3,169.127,267.728,2.618,15.026,48.329
JY11-4,2323.875,3,168.774,267.358,2.609,14.724,49.987
JY11-4,2324,3,166.464,266.161,2.598,14.697,52.285
JY11-4,2324.125,3,163.085,263.835,2.591,15.265,54.832
JY11-4,2324.625,4,163.573,263.887,2.593,15.223,53.457
JY11-4,2324.75,4,164.119,264.41,2.594,14.959,51.013
JY11-4,2324.875,4,164.015,264.835,2.592,14.72,48.949
JY11-4,2326.125,4,163.905,264.559,2.592,14.634,48.332
JY11-4,2326.25,4,164.123,263.51,2.596,14.721,49.996
JY11-4,2326.375,4,163.809,262.657,2.606,14.941,53.072
JY11-4,2327,3,163.1,262.497,2.614,15.213,56.227
JY11-4,2327.125,3,162.834,262.397,2.613,15.412,58.156
JY11-4,2327.25,3,165.279,262.636,2.593,15.197,58.955
JY11-4,2328.125,3,166.6,262.389,2.584,14.898,59.078
JY11-4,2328.25,3,167.408,261.522,2.577,14.722,59.758
JY11-4,2328.375,3,175.077,263.683,2.571,14.491,57.561
JY11-4,2328.625,5,176.341,264.705,2.57,14.269,56.099
JY11-4,2328.75,5,178.067,266.093,2.57,14.421,55.114
JY11-4,2328.875,5,179.01,270.227,2.57,14.849,57.272
JY11-4,2329,5,180.449,270.77,2.567,14.671,58.48
JY11-4,2329.125,5,180.047,269.798,2.566,14.55,59.336
JY11-4,2329.25,5,198.448,270.63,2.587,16.378,20.327
JY11-4,2329.375,5,206.855,268.563,2.594,15.977,17.846
JY11-4,2329.5,5,216.506,266.748,2.601,14.845,17.768
JY11-4,2329.625,5,181.873,255.288,2.586,13.153,35.717
JY11-4,2329.875,3,184.478,253.087,2.585,12.73,31.779
JY11-4,2330,3,194.863,254.481,2.585,12.851,23.734
JY11-4,2330.125,3,206.087,271.189,2.603,16.521,22.412
JY11-4,2330.875,3,205.397,271.861,2.601,16.539,29.401
JY11-4,2331,3,207.143,272.663,2.598,16.576,32.207
JY11-4,2331.125,3,196.362,260.902,2.607,16.333,28.929
JY11-4,2332.5,3,192.422,257.624,2.613,16.053,27.793
JY11-4,2332.625,3,188.826,253.416,2.617,15.58,28.461
JY11-4,2332.75,3,179.002,243.366,2.616,13.79,41.667
JY11-4,2333.375,3,177.646,242.935,2.619,13.552,43.69
JY11-4,2333.5,3,178.672,244.103,2.619,13.493,42.881
JY11-4,2333.625,3,179.444,240.697,2.617,12.662,49.075
JY11-4,2334.375,3,182.431,239.975,2.617,12.839,50.94
JY11-4,2334.5,3,182.045,239.408,2.617,12.946,51.198
JY11-4,2334.625,3,172.97,234.333,2.635,12.029,68.253
JY11-4,2335.375,4,173.468,233.847,2.627,12.038,68.931
JY11-4,2335.5,4,173.38,236.201,2.612,12.033,65.47
JY11-4,2335.625,4,166.064,241.368,2.588,11.888,46.385
JY11-4,2336.5,3,170.419,240.527,2.586,11.811,41.008
JY11-4,2336.625,3,172.534,239.605,2.583,11.853,38.809
JY11-4,2336.75,3,198.556,253.737,2.617,14.963,20.998
JY11-4,2337.125,3,197.41,253.592,2.614,14.562,23.697
JY11-4,2337.25,3,192.841,251.304,2.611,13.773,28.091
JY11-4,2337.375,3,187.372,242.073,2.595,11.966,57.087
JY11-4,2338.25,4,191.513,243.541,2.584,12.422,68.476
JY11-4,2338.375,4,195.9,245.708,2.573,12.856,74.987
JY11-4,2338.5,4,202.469,252.7,2.572,12.13,60.377
JY11-4,2339.625,3,200.515,251.951,2.569,12.163,64.857
JY11-4,2339.75,3,200.661,251.757,2.567,12.303,70.815
JY11-4,2339.875,3,203.276,256.572,2.572,12.264,29.508
JY11-4,2341.25,3,202.268,255.609,2.569,12.144,36.037
JY11-4,2341.375,3,198.601,254.336,2.567,12.315,44.653
JY11-4,2341.5,3,192.571,252.486,2.561,13.719,51.557
JY11-4,2342.125,3,196.875,253.184,2.558,13.806,50.209
JY11-4,2342.25,3,201.49,254.494,2.557,13.43,47.999
JY11-4,2342.375,3,204.439,255.558,2.56,12.901,43.716
JY11-4,2343.125,3,204.158,255.435,2.563,12.552,38.409
JY11-4,2343.25,3,199.854,253.041,2.566,12.339,34.831
JY11-4,2343.375,3,191.476,248.557,2.569,11.965,34.969
JY11-4,2344.25,3,182.745,245.123,2.572,11.355,39.639
JY11-4,2344.375,3,177.904,244.055,2.576,10.909,46.609
JY11-4,2344.5,3,180.647,244.524,2.577,10.898,51.56
JY11-4,2345.375,3,189.015,246.284,2.578,11.27,51.84
JY11-4,2345.5,3,200.906,249.611,2.585,11.586,41.945
JY11-4,2345.625,3,196.245,248.016,2.591,11.429,39.857
JY11-4,2346,5,191.263,247.132,2.597,11.581,38.237
JY11-4,2346.125,5,206.914,252.55,2.583,11.818,39.912
JY11-4,2346.25,5,207.291,251.464,2.577,11.545,47.449
JY11-4,2346.375,5,203.996,248.337,2.574,11.574,53.598
JY11-4,2346.5,5,203.621,256.037,2.543,13.148,24.716
JY11-4,2346.625,5,203.081,256.178,2.547,13.112,30.018
JY11-4,2346.75,5,201.408,256.412,2.547,12.837,39.541
JY11-4,2346.875,5,195.862,257.427,2.532,12.815,40.22
JY11-4,2347,5,193.378,257.677,2.533,12.6,38.913
JY11-4,2347.125,5,195.024,257.572,2.532,12.2,38.264
JY11-4,2347.25,5,172.133,249.371,2.538,10.923,50.098
JY11-4,2347.625,3,174.314,249.049,2.543,11.057,42.804
JY11-4,2347.75,3,175.692,247.99,2.544,10.924,39.105
JY11-4,2347.875,3,167.934,246.477,2.543,11.862,60.53
JY11-4,2348.5,3,171.757,245.444,2.531,11.41,60.197
JY11-4,2348.625,3,176.881,244.913,2.52,10.734,53.886
JY11-4,2348.75,3,197.305,245.833,2.505,9.876,13.949
JY11-4,2350.125,3,196.232,247.136,2.504,9.892,16.173
JY11-4,2350.25,3,196.303,249.751,2.507,10.266,18.933
JY11-4,2350.375,3,216.699,251.314,2.487,11.035,88.46
JY11-4,2351.125,3,218.656,252.587,2.491,11.216,80.486
JY11-4,2351.25,3,217.274,253.937,2.496,11.293,69.349
JY11-4,2351.375,3,337.253,264.497,2.477,13.669,25.895
JY11-4,2352.25,3,356.106,258.039,2.472,13.389,35.627
JY11-4,2352.375,3,343.032,246.535,2.488,12.503,43.925
JY11-4,2352.5,3,195.852,257.657,2.524,12.77,11.656
JY11-4,2353.25,3,190.887,255.75,2.511,12.363,13.055
JY11-4,2353.375,3,183.363,250.557,2.503,11.274,18.899
JY11-4,2353.5,3,180.706,244.078,2.519,10.201,28.232
JY11-4,2354.375,3,177.142,245.377,2.508,9.425,33.329
JY11-4,2354.5,3,181.327,246.697,2.499,9.398,40.489
JY11-4,2354.625,3,181.015,252.122,2.498,11.434,49.113
JY11-4,2355.625,3,174.749,249.314,2.498,10.891,50.362
JY11-4,2355.75,3,166.82,247.208,2.495,10.204,51.773
JY11-4,2355.875,3,120.891,258.705,2.56,15.3,15.749
JY11-4,2356.75,3,123.442,260.115,2.56,15.311,11.961
JY11-4,2356.875,3,130.404,263.127,2.555,15.373,8.598
JY11-4,2357,3,177.772,282.766,2.543,17.732,21.49
JY41-5,2494.5,4,165.888,238.551,2.742,18.609,36.016
JY41-5,2494.625,4,164.232,238.706,2.745,18.517,35.66
JY41-5,2496.625,3,164.439,238.303,2.723,17.359,37.91
JY41-5,2496.875,3,165.65,242.55,2.738,21.029,35.682
JY41-5,2520.125,4,188.447,249.275,2.725,21.748,34.515
JY41-5,2520.25,4,181.884,247.823,2.716,19.892,36.195
JY41-5,2521,4,174.907,238.665,2.703,17.194,40.163
JY41-5,2521.125,4,176.183,238.368,2.7,17.181,39.414
JY41-5,2521.25,4,177.935,238.672,2.702,17.483,38.281
JY41-5,2522.125,4,181.222,242.698,2.709,19.511,35.557
JY41-5,2522.25,4,184.508,243.803,2.704,19.379,29.618
JY41-5,2522.375,4,187.919,245.654,2.699,19.4,23.136
JY41-5,2523.25,4,189.081,253.41,2.716,20.6,31.594
JY41-5,2523.375,4,191.613,253.397,2.718,20.88,29.421
JY41-5,2523.5,4,194.113,253.462,2.716,20.9,28.056
JY41-5,2524.25,4,186.462,254.463,2.701,20.818,34.942
JY41-5,2524.375,4,183.164,254.525,2.709,20.741,34.494
JY41-5,2524.5,4,182.628,254.347,2.72,20.658,34.154
JY41-5,2525.125,4,174.938,251.576,2.703,21.156,33.351
JY41-5,2525.25,4,175.701,251.445,2.705,20.67,33.169
JY41-5,2525.375,4,176.596,251.55,2.71,20.224,33.04
JY41-5,2526.125,4,178.725,254.019,2.728,20.25,25.803
JY41-5,2526.25,4,180.339,254.521,2.731,20.893,24.605
JY41-5,2526.375,4,183.28,255.012,2.735,21.529,24.68
JY41-5,2527.125,4,181.617,255.457,2.72,20.906,31.366
JY41-5,2527.25,4,179.41,254.761,2.716,20.503,31.51
JY41-5,2527.375,4,177.695,253.873,2.715,20.45,31.055
JY41-5,2528,4,178.108,250.025,2.723,20.761,24.481
JY41-5,2528.125,4,175.971,249.991,2.719,20.25,26.513
JY41-5,2528.25,4,175.205,250.204,2.714,20.031,28.936
JY41-5,2528.875,4,182.537,249.494,2.716,19.519,32.001
JY41-5,2529,4,178.026,248.254,2.714,20.092,32.878
JY41-5,2529.125,4,172.929,246.999,2.718,20.226,33.263
JY41-5,2529.75,4,179.54,247.462,2.726,21.053,29.011
JY41-5,2529.875,4,180.642,248.073,2.725,21.299,29.633
JY41-5,2530,4,180.674,248.408,2.723,20.965,30.66
JY41-5,2530.625,4,178.624,249.629,2.731,19.956,32.51
JY41-5,2530.75,4,177.418,250.406,2.728,19.219,32.444
JY41-5,2530.875,4,177.107,251.216,2.727,18.727,32.223
JY41-5,2531.375,4,184.077,252.736,2.717,21.149,30.965
JY41-5,2531.5,4,184.536,252.677,2.715,21.433,30.845
JY41-5,2531.625,4,185.313,252.583,2.718,21.622,30.817
JY41-5,2532.375,4,181.358,253.602,2.726,20.768,30.6
JY41-5,2532.5,4,178.836,253.917,2.729,20.543,30.523
JY41-5,2532.625,4,177.019,254.249,2.732,19.989,30.435
JY41-5,2533.25,4,176.368,255.209,2.748,22.22,30.695
JY41-5,2533.375,4,178.819,255.004,2.746,21.306,29.364
JY41-5,2533.5,4,180.659,254.698,2.742,20.152,25.719
JY41-5,2534,4,187.24,253.679,2.742,20.76,15.809
JY41-5,2534.125,4,186.378,253.541,2.733,20.938,18.956
JY41-5,2534.25,4,183.233,253.293,2.724,20.942,23.895
JY41-5,2534.875,4,177.201,251.546,2.725,20.646,30.864
JY41-5,2535,4,174.544,252.181,2.721,21.156,27.992
JY41-5,2535.125,4,173.179,253.212,2.714,21.792,24.077
JY41-5,2535.875,4,182.827,255.4,2.699,20.677,31.094
JY41-5,2536,4,181.282,254.563,2.699,21.085,33.002
JY41-5,2536.125,4,181.363,253.808,2.696,21.292,33.177
JY41-5,2536.875,4,190.692,257.522,2.693,21.78,27.333
JY41-5,2537,4,193.229,258.335,2.695,21.826,27.467
JY41-5,2537.125,4,194.289,258.538,2.695,21.375,28.017
JY41-5,2537.875,4,188.411,253.603,2.716,20.225,23.773
JY41-5,2538,4,187.172,253.741,2.717,20.075,25.34
JY41-5,2538.125,4,187.972,254.11,2.715,20.001,25.316
JY41-5,2538.875,4,186.225,259.364,2.715,21.006,11.955
JY41-5,2539,4,189.167,259.999,2.706,19.994,15.535
JY41-5,2539.125,4,190.624,260.012,2.696,19.177,17.626
JY41-5,2540,4,186.347,258.339,2.706,19.871,22.065
JY41-5,2540.125,4,185.876,258.724,2.702,20.362,24.283
JY41-5,2540.25,4,182.737,259.065,2.699,20.521,26.337
JY41-5,2541.5,4,198.955,259.219,2.71,19.314,38.876
JY41-5,2541.625,4,195.759,259.344,2.709,19.352,39.047
JY41-5,2541.75,4,193.833,259.454,2.709,19.167,38.665
JY41-5,2542.625,4,213.597,257.861,2.691,19.044,20.896
JY41-5,2542.75,4,213.005,257.608,2.684,19.249,19.837
JY41-5,2542.875,4,211.356,257.574,2.675,19.219,18.55
JY41-5,2543.375,4,208.361,259.004,2.651,18.332,15.188
JY41-5,2543.5,4,207.693,259.275,2.645,18.468,11.56
JY41-5,2543.625,4,204.293,259.335,2.643,18.153,8.619
JY41-5,2544.375,4,193.576,255.294,2.67,19.687,32.334
JY41-5,2544.5,4,190.745,255.548,2.675,19.836,31.991
JY41-5,2544.625,4,187.679,256.479,2.679,20.117,30.246
JY41-5,2545.25,4,181.529,261.384,2.661,19.736,26.11
JY41-5,2545.375,4,183.592,261.623,2.664,18.919,28.722
JY41-5,2545.5,4,185.671,261.727,2.666,18.444,29.283
JY41-5,2546,4,186.347,258.892,2.645,19.365,15.716
JY41-5,2546.125,4,188.056,257.383,2.64,18.556,15.966
JY41-5,2546.25,4,189.358,255.968,2.64,17.899,18.051
JY41-5,2547,4,189.517,252.368,2.656,17.17,49.644
JY41-5,2547.125,4,185.922,251.095,2.661,16.751,41.697
JY41-5,2547.25,4,182.934,249.675,2.664,16.401,31.787
JY41-5,2548,4,187.422,254.492,2.673,15.31,36.673
JY41-5,2548.125,4,191.494,258.258,2.672,16.066,38.908
JY41-5,2548.25,4,196.788,262.074,2.67,17.319,39.565
JY41-5,2548.875,4,209.681,268.286,2.661,19.501,37.134
JY41-5,2549,4,226.167,272.177,2.628,19.771,19.643
JY41-5,2549.125,4,227.265,272.069,2.622,18.995,16.357
JY41-5,2550,4,224.231,271.349,2.617,18.242,15.604
JY41-5,2550.25,4,209.697,258.875,2.594,15.68,62.139
JY41-5,2551,4,203.426,255.842,2.614,15.717,66.853
JY41-5,2551.125,4,196.786,251.406,2.612,15.599,59.811
JY41-5,2551.25,4,202.558,255.024,2.598,16.662,54.222
JY41-5,2552.125,4,205.121,258.064,2.595,17.033,45.413
JY41-5,2552.25,4,236.308,262.619,2.651,17.923,28.567
JY41-5,2552.375,4,238.167,263.646,2.653,18.859,23.686
JY41-5,2553.25,4,233.436,264.675,2.649,19.509,17.091
JY41-5,2553.375,4,189.345,266.035,2.69,18.002,32.813
JY41-5,2553.5,4,194.573,267.743,2.686,17.587,25.437
JY41-5,2554,4,202.383,269.929,2.681,18.043,18.681
JY41-5,2554.125,4,201.701,274.962,2.66,20.837,18.336
JY41-5,2554.25,4,199.152,275.312,2.656,19.748,19.45
JY41-5,2554.5,4,200.275,275.912,2.654,19.044,19.369
JY41-5,2554.625,4,210.141,277.714,2.651,19.031,19.101
JY41-5,2554.75,4,214.849,278.49,2.649,19.108,19.229
JY41-5,2556,4,215.899,278.956,2.648,19.125,19.027
JY41-5,2556.125,4,203.313,275.996,2.65,20.228,32.877
JY41-5,2556.25,4,207.325,276.358,2.65,20.386,32.952
JY41-5,2556.875,5,208.796,277.032,2.649,20.826,32.608
JY41-5,2557,5,206.54,275.696,2.669,20.76,32.565
JY41-5,2557.125,4,211.89,275.105,2.669,19.957,32.826
JY41-5,2557.25,5,216.394,274.662,2.667,19.728,33.005
