Well Name,Depth,Facies,GR,AC,DEN,LLS,K
JY56-z1,2899.25,5,209.761,249.581,2.616,71.29,2.515
JY56-z1,2899.375,5,213.236,249.166,2.607,71.558,2.545
JY51-2,3052.75,4,159.607,89.594,237.711,18.091,29.84
JY51-2,3052.875,4,161.003,90.077,240.227,18.433,23.285
JY51-2,3053,4,162.138,90.503,242.53,18.745,18.626
JY51-2,3053.75,4,192.832,93.346,253.755,20.975,27.049
JY51-2,3053.875,4,195.509,93.915,254.021,20.935,27.492
JY51-2,3054,4,196.842,94.448,254.741,20.968,27.784
JY51-2,3054.75,4,199.708,96.034,257.956,22.316,29.643
JY51-2,3054.875,4,198.12,96.168,256.577,21.955,30.285
JY51-2,3055,4,197.041,96.353,254.771,21.615,30.839
JY51-2,3055.75,4,198.012,96.834,247.534,19.692,32.734
JY51-2,3055.875,4,198.917,96.652,248.479,19.852,33.041
JY51-2,3056,4,200.281,96.473,249.495,20.101,33.162
JY51-2,3056.75,4,188.383,95.618,248.786,21.278,30.824
JY51-2,3056.875,4,187.104,95.502,248.304,21.464,28.824
JY51-2,3057,4,186.594,95.338,247.955,21.149,25.4
JY51-2,3057.75,4,188.286,93.883,248.046,19.871,25.889
JY51-2,3057.875,4,188.588,93.79,248.527,19.678,27.493
JY51-2,3058,4,188.402,93.722,248.81,19.752,25.875
JY51-2,3058.75,4,194.526,93.223,250.505,20.477,27.463
JY51-2,3058.875,4,198.933,93.494,251.752,20.502,29.852
JY51-2,3059,4,199.656,93.937,252.394,20.433,28.415
JY51-2,3059.75,4,196.919,95.239,250.387,19.612,13.042
JY51-2,3059.875,4,196.461,95.096,250.166,19.423,15.479
JY51-2,3060,4,197.179,94.976,249.718,19.115,19.807
JY51-2,3060.75,4,194.546,94.353,243.558,17.28,37.899
JY51-2,3060.875,4,194.005,94.265,243.729,17.544,37.622
JY51-2,3061,4,192.133,94.219,243.276,18.054,36.158
JY51-2,3061.75,4,190.989,94.297,244.255,18.207,32.368
JY51-2,3061.875,4,192.788,94.321,245.265,18.084,32.431
JY51-2,3062,4,193.159,94.302,245.833,18.25,31.767
JY51-2,3062.75,4,196.484,94.451,248.944,19.15,19.607
JY51-2,3062.875,4,197.961,94.478,250.999,19.413,14.858
JY51-2,3063,4,197.691,94.451,252.028,19.591,12.506
JY51-2,3063.75,4,204.037,94.499,252.987,19.914,26.841
JY51-2,3063.875,4,205.067,94.53,253.797,20.388,30.327
JY51-2,3064,4,206.055,94.537,254.836,20.517,32.407
JY51-2,3064.75,4,209.6,94.474,255.792,19.255,38.84
JY51-2,3064.875,4,209.411,94.422,255.453,19.169,39.167
JY51-2,3065,4,211.269,94.392,255.821,19.144,39.566
JY51-2,3065.75,4,228.722,94.749,258.981,19.237,28.967
JY51-2,3065.875,4,230.068,94.801,258.235,18.263,31.198
JY51-2,3066,4,226.645,94.803,257.17,17.735,34.534
JY51-2,3066.75,4,213.593,93.531,251.274,17.387,19.85
JY51-2,3066.875,4,216.469,93.407,251.967,17.305,29.258
JY51-2,3067,4,219.479,93.413,252.617,17.526,40.522
JY51-2,3067.75,4,222.793,94.041,248.274,17.389,54.076
JY51-2,3067.875,4,222.377,94.182,248.446,17.136,53.757
JY51-2,3068,4,220.049,94.443,248.762,16.877,53.123
JY51-2,3068.75,4,175.776,97.033,224.993,14.998,56.828
JY51-2,3068.875,4,163.135,97.229,221.863,13.797,59.156
JY51-2,3069,4,165.213,97.349,224.016,13.613,58.611
JY51-2,3069.625,4,217.704,98.292,258.5,20.11,33.2
JY51-2,3069.75,4,211.116,98.532,259.819,19.675,31.056
JY51-2,3069.875,4,209.662,98.742,261.527,19.527,28.726
JY51-2,3070.75,4,218.409,99.046,266.085,21.047,21.56
