Well Name,Depth,Facies,GR,AC,DEN
JY56-z1,2868.375,4,200.754,263.861,2.708
JY56-z1,2868.625,4,198.02,262.39,2.706
JY56-z1,2868.75,4,199.364,261.685,2.701
JY56-z1,2869,4,203.933,261.522,2.695
JY56-z1,2869.25,4,200.315,263.08,2.689
JY56-z1,2869.375,4,199.042,263.997,2.688
JY56-z1,2869.5,4,200.104,264.448,2.689
JY56-z1,2869.75,4,203.809,263.232,2.699
JY56-z1,2869.875,4,202.465,261.771,2.701
JY56-z1,2870,4,198.784,259.954,2.698
JY56-z1,2870.25,4,193.824,256.697,2.691
JY56-z1,2870.375,4,194.304,256.262,2.695
JY56-z1,2870.625,4,195.741,259.285,2.695
JY56-z1,2870.875,4,199.771,265.331,2.681
JY56-z1,2871,4,204.394,268.315,2.682
JY56-z1,2871.25,4,211.455,271.449,2.673
JY56-z1,2871.5,4,226.782,268.876,2.647
JY56-z1,2871.625,4,230.538,264.967,2.633
JY56-z1,2871.75,4,224.608,260.144,2.634
JY56-z1,2874.125,4,187.071,242.143,2.665
JY56-z1,2874.25,4,186.125,243.295,2.663
JY56-z1,2874.375,4,185.95,244.358,2.663
JY56-z1,2874.5,4,185.556,244.924,2.663
JY56-z1,2874.625,4,185.417,245.329,2.663
JY56-z1,2874.75,4,186.492,245.699,2.663
JY56-z1,2876.5,5,180.435,234.906,2.68
JY56-z1,2876.625,5,173.312,234.057,2.687
JY56-z1,2876.75,5,164.72,233.544,2.686
JY56-z1,2884.75,4,191.306,268.203,2.619
JY56-z1,2884.875,4,191.494,267.972,2.616
JY56-z1,2886.75,4,190.201,272.27,2.623
JY56-z1,2886.875,4,191.312,272.557,2.622
JY56-z1,2887,4,190.751,271.908,2.622
JY56-z1,2897.375,5,201.478,247.118,2.621
JY56-z1,2897.5,5,202.957,245.983,2.625
JY56-z1,2897.625,5,203.683,245.696,2.63
JY56-z1,2898.375,4,214.601,246.731,2.623
JY56-z1,2898.5,4,213.344,247.116,2.627
JY56-z1,2898.625,4,209.516,248.093,2.627
JY56-z1,2899.125,5,209.189,250.04,2.623
JY56-z1,2899.25,5,209.761,249.581,2.616
JY56-z1,2899.375,5,213.236,249.166,2.607
JY51-2,3052.75,4,159.607,89.594,237.711
JY51-2,3052.875,4,161.003,90.077,240.227
JY51-2,3053,4,162.138,90.503,242.53
JY51-2,3053.75,4,192.832,93.346,253.755
JY51-2,3053.875,4,195.509,93.915,254.021
JY51-2,3054,4,196.842,94.448,254.741
JY51-2,3054.75,4,199.708,96.034,257.956
JY51-2,3054.875,4,198.12,96.168,256.577
JY51-2,3055,4,197.041,96.353,254.771
JY51-2,3055.75,4,198.012,96.834,247.534
JY51-2,3055.875,4,198.917,96.652,248.479
JY51-2,3056,4,200.281,96.473,249.495
JY51-2,3056.75,4,188.383,95.618,248.786
JY51-2,3056.875,4,187.104,95.502,248.304
JY51-2,3057,4,186.594,95.338,247.955
JY51-2,3057.75,4,188.286,93.883,248.046
JY51-2,3057.875,4,188.588,93.79,248.527
JY51-2,3058,4,188.402,93.722,248.81
JY51-2,3058.75,4,194.526,93.223,250.505
