Well Name,Depth,Facies,GR,AC,LLS,LLD
JY11-4,2290.5,2,230.905,267.009,33.018,34.107
JY11-4,2290.625,2,231.72,263.816,33.284,34.388
JY11-4,2290.75,2,226.221,259.268,33.315,34.364
JY11-4,2291,2,194.391,240.299,54.829,55.874
JY11-4,2291.125,2,198.053,241.618,50.163,50.626
JY11-4,2291.25,2,206.598,246.819,40.105,40.293
JY11-4,2291.375,2,192.676,276.221,17.462,17.985
JY11-4,2291.625,2,196.519,281.65,18.682,18.566
JY11-4,2292.5,2,198.884,289.937,10.426,10.93
JY11-4,2292.625,2,199.276,290.707,11.939,12.555
JY11-4,2293.75,2,202.439,289.176,20.869,21.616
JY11-4,2293.875,2,205.146,287.485,21.319,22.089
JY11-4,2294.5,2,183.352,274.199,21.523,20.882
JY11-4,2295.125,2,184.55,275.827,15.696,14.931
JY11-4,2295.25,2,207.038,292.488,12.123,12.88
JY11-4,2295.875,2,191.198,288.088,27.377,27.595
JY11-4,2296,2,196.747,288.147,23.985,24.018
JY11-4,2297,2,153.892,237.748,34.03,36.096
JY11-4,2297.125,2,144.007,234.656,44.388,46.49
JY11-4,2297.25,2,153.408,244.324,50.461,52.07
JY11-4,2299.125,2,153.868,237.22,52.881,54.585
JY11-4,2299.25,2,152.584,236.018,52.26,53.98
JY11-4,2299.375,2,144.601,233.366,58.322,60.97
JY11-4,2300,2,143.744,233.068,59.621,62.245
JY11-4,2300.125,2,140.831,232.61,59.865,62.384
JY11-4,2300.25,2,147.502,233.93,53.685,55.568
JY11-4,2300.875,2,148.899,233.436,53.286,55.182
JY11-4,2301,2,148.456,232.837,53.723,55.741
JY11-4,2301.125,2,149.76,241.222,52.761,54.761
JY11-4,2301.625,2,149.311,241.346,51.827,53.794
JY11-4,2301.75,2,148.926,240.264,51.32,53.245
JY11-4,2301.875,2,153.795,238.648,48.576,50.225
JY11-4,2302.875,2,154.394,240.498,46.984,48.664
JY11-4,2303,2,155.773,242.861,46.056,47.755
JY11-4,2303.125,2,156.869,244.405,46.237,47.99
JY11-4,2303.875,2,156.614,245.279,47.388,49.224
JY11-4,2304,2,155.87,245.825,49.008,50.904
JY11-4,2304.125,2,155.477,245.856,50.303,52.226
JY11-4,2304.75,2,156.749,245.55,51.034,52.986
JY11-4,2304.875,2,159.43,245.025,51.394,53.416
JY11-4,2305,2,161.593,243.657,52.022,54.177
JY11-4,2305.875,2,160.766,241.068,53.463,55.837
JY11-4,2306,2,156.531,237.795,56.054,58.699
JY11-4,2306.125,2,151.433,235.002,59.161,62.031
JY11-4,2307,2,149.198,233.557,61.903,64.865
JY11-4,2307.125,2,151.132,234.067,63.061,65.917
JY11-4,2307.25,2,156.826,236.277,62.36,65.01
JY11-4,2307.375,2,162.899,239.164,60.222,62.694
JY11-4,2307.5,2,166.481,241.32,57.941,60.335
JY11-4,2307.625,2,167.077,242.35,56.342,58.708
JY11-4,2307.75,2,166.698,242.633,55.546,57.868
JY11-4,2307.875,2,158.243,241.83,54.87,57.642
JY11-4,2308,2,154.257,241.027,54.864,57.668
JY11-4,2308.125,2,152.184,239.881,55.005,57.779
JY11-4,2308.25,2,149.925,234.669,56.107,58.73
JY11-4,2308.375,2,152.562,236.069,54.838,57.383
JY11-4,2308.5,2,154.054,238.551,53.11,55.676
JY11-4,2308.625,2,156.777,244.683,50.575,53.509
JY11-4,2308.75,2,159.148,247.228,50.566,53.669
JY11-4,2308.875,2,161.285,248.519,51.099,54.285
JY11-4,2309,2,162.185,248.682,51.535,54.776
JY11-4,2309.125,2,162.264,248.418,51.674,54.98
JY11-4,2309.25,2,162.393,247.679,50.937,54.186
JY11-4,2309.375,2,162.331,240.733,32.954,35.262
JY11-4,2309.875,2,163.005,239.587,32.547,35.088
JY11-4,2310,2,162.535,239.412,35.528,38.373
JY11-4,2310.125,2,214.533,249.866,11.049,11.674
JY11-4,2310.75,2,223.144,246.406,12.189,13.222
JY11-4,2310.875,2,218.058,241.36,15.916,17.444
JY11-4,2311,2,170.755,241.451,44.366,46.099
JY11-4,2311.625,2,173.461,240.528,18.869,19.601
JY11-4,2311.75,2,175.602,239.085,18.104,19.136
JY11-4,2311.875,2,178.363,238.04,20.81,22.109
JY11-4,2312.375,2,179.257,236.032,25.767,27.234
JY11-4,2312.5,2,177.016,234.305,31.621,33.077
JY11-4,2312.625,2,172.866,234.067,36.777,38.059
JY11-4,2313.5,2,169.885,234.033,40.952,41.982
JY11-4,2313.625,2,163.122,245.269,28.942,27.965
JY11-4,2313.75,2,164.722,245.513,19.414,18.653
JY11-4,2314.625,2,165.655,245.628,13.425,13.052
JY11-4,2314.75,2,163.354,237.989,6.824,7.307
JY11-4,2314.875,2,163.965,238.676,11.353,12.251
JY11-4,2315,2,165.205,239.877,21.747,22.933
JY11-4,2315.125,2,156.273,237.38,57.838,58.922
JY11-4,2315.25,2,156.191,235.604,59.21,60.454
JY11-4,2315.375,2,155.07,232.663,61.137,62.467
JY11-4,2315.5,2,161.454,238.713,48.49,48.582
JY11-4,2315.625,2,164.328,241.12,41.379,41.546
JY11-4,2315.75,2,163.985,241.032,36.285,36.735
JY11-4,2315.875,2,160.193,238.127,19.094,19.435
JY11-4,2316.75,2,160.856,237.507,19.799,20.645
JY11-4,2316.875,2,162.622,236.828,26.301,27.639
JY11-4,2317,2,157.995,243.378,55.158,57.104
JY11-4,2317.75,2,160.327,243.024,52.893,54.944
JY11-4,2317.875,2,162.228,240.052,50.316,52.512
JY11-4,2318,2,169.966,260.624,40.383,41.802
JY11-4,2318.75,2,167.504,263.382,41.565,42.776
JY11-4,2318.875,2,166.597,266.186,39.629,40.422
JY11-4,2319,2,178.419,270.606,22.04,22.604
JY11-4,2319.625,2,180.344,270.149,22.133,22.83
JY11-4,2319.75,2,177.43,268.891,23.445,24.236
JY11-4,2319.875,2,172.414,271.85,36.761,38.39
JY11-4,2320.875,2,171.81,270.648,43.757,45.362
JY11-4,2321,2,169.281,269.024,47.789,49.296
JY11-4,2321.125,2,166.736,266.175,47.026,48.132
JY11-4,2322.375,2,167.894,266.695,42.872,43.814
JY11-4,2322.5,2,168.561,267.001,38.809,39.749
JY11-4,2322.625,2,169.127,267.728,48.329,50.381
JY11-4,2323.875,2,168.774,267.358,49.987,52.186
JY11-4,2324,2,166.464,266.161,52.285,54.659
JY11-4,2324.125,2,163.085,263.835,54.832,57.323
JY11-4,2324.625,2,163.573,263.887,53.457,55.863
JY11-4,2324.75,2,164.119,264.41,51.013,53.338
JY11-4,2324.875,2,164.015,264.835,48.949,51.345
JY11-4,2326.125,2,163.905,264.559,48.332,51.018
JY11-4,2326.25,2,164.123,263.51,49.996,53.146
JY11-4,2326.375,2,163.809,262.657,53.072,56.707
JY11-4,2327,2,163.1,262.497,56.227,60.3
JY11-4,2327.125,2,162.834,262.397,58.156,62.6
JY11-4,2327.25,2,165.279,262.636,58.955,63.852
JY11-4,2328.125,2,166.6,262.389,59.078,64.111
JY11-4,2328.25,2,167.408,261.522,59.758,64.965
JY11-4,2328.375,2,175.077,263.683,57.561,63.174
JY11-4,2328.625,2,176.341,264.705,56.099,61.563
JY11-4,2328.75,2,178.067,266.093,55.114,60.426
JY11-4,2328.875,2,179.01,270.227,57.272,62.123
JY11-4,2329,2,180.449,270.77,58.48,63.393
JY11-4,2329.125,2,180.047,269.798,59.336,64.012
JY11-4,2329.25,2,198.448,270.63,20.327,21.352
JY11-4,2329.375,2,206.855,268.563,17.846,18.939
JY11-4,2329.5,2,216.506,266.748,17.768,19.004
JY11-4,2329.625,2,181.873,255.288,35.717,37.162
JY11-4,2329.875,2,184.478,253.087,31.779,32.445
JY11-4,2330,2,194.863,254.481,23.734,23.755
JY11-4,2330.125,2,206.087,271.189,22.412,23.866
JY11-4,2330.875,2,205.397,271.861,29.401,30.753
JY11-4,2331,2,207.143,272.663,32.207,33.276
JY11-4,2331.125,2,196.362,260.902,28.929,29.71
JY11-4,2332.5,2,192.422,257.624,27.793,28.719
JY11-4,2332.625,2,188.826,253.416,28.461,29.684
JY11-4,2332.75,2,179.002,243.366,41.667,43.349
JY11-4,2333.375,2,177.646,242.935,43.69,45.15
JY11-4,2333.5,2,178.672,244.103,42.881,44.086
JY11-4,2333.625,2,179.444,240.697,49.075,51.63
JY11-4,2334.375,2,182.431,239.975,50.94,53.735
JY11-4,2334.5,2,182.045,239.408,51.198,54.219
JY11-4,2334.625,2,172.97,234.333,68.253,73.854
JY11-4,2335.375,2,173.468,233.847,68.931,74.543
JY11-4,2335.5,2,173.38,236.201,65.47,70.568
JY11-4,2335.625,2,166.064,241.368,46.385,49.247
JY11-4,2336.5,2,170.419,240.527,41.008,43.707
JY11-4,2336.625,2,172.534,239.605,38.809,41.292
JY11-4,2336.75,2,198.556,253.737,20.998,22.306
JY11-4,2337.125,2,197.41,253.592,23.697,25.396
JY11-4,2337.25,2,192.841,251.304,28.091,30.067
JY11-4,2337.375,2,187.372,242.073,57.087,61.953
JY11-4,2338.25,2,191.513,243.541,68.476,73.993
JY11-4,2338.375,2,195.9,245.708,74.987,80.62
JY11-4,2338.5,2,202.469,252.7,60.377,64.338
