Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS,LLD,K
JY41-5,2566.25,1,174.058,242.662,2.641,14.629,56.305,54.41,3.608
JY41-5,2566.625,1,174.191,242.049,2.638,14.356,56.226,54.298,3.441
JY41-5,2566.75,1,171.805,242.13,2.63,14.084,55.951,54.36,3.184
JY41-5,2566.875,1,171.844,242.635,2.633,14.091,56.758,55.217,3.158
JY41-5,2571.25,1,178.96,235.445,2.658,13.163,45.639,42.764,3.852
JY41-5,2571.375,1,164.553,231.103,2.691,12.755,45.439,42.176,4.126
JY41-5,2571.5,1,167.477,233.485,2.684,13.613,45.676,42.095,4.207
JY41-5,2572.125,1,171.507,235.824,2.676,14.173,43.489,39.985,4.289
JY41-5,2572.25,1,178.792,241.142,2.635,13.141,39.187,34.177,4.192
JY41-5,2572.375,1,180.409,241.286,2.633,13.671,28.749,24.53,4.05
JY41-5,2573,1,180.39,241.186,2.64,14.657,17.231,14.674,3.887
JY41-5,2573.125,1,179.445,238.496,2.636,14.667,41.292,38.396,3.472
JY41-5,2573.25,1,175.719,238.031,2.635,14.546,49.027,45.041,3.486
JY41-5,2576.375,2,169.647,235.154,2.653,13.01,64.783,59.97,3.885
JY41-5,2576.5,2,166.337,233.593,2.664,12.864,40.729,36.368,3.482
JY41-5,2576.625,2,166.2,234.225,2.66,13.618,27.373,24.518,3.43
JY41-5,2581,1,171.452,251.371,2.65,12.908,40.642,38.276,3.652
JY41-5,2581.125,1,188.632,258.277,2.633,16.837,33.174,30.865,4.241
JY41-5,2581.25,1,185.84,258.119,2.631,16.286,31.475,28.766,4.093
JY41-5,2582.125,1,182.989,258.343,2.628,15.8,26.365,23.609,3.88
JY41-5,2582.25,1,188.116,261.861,2.618,16.97,42.117,40.648,3.404
JY41-5,2582.375,1,183.574,260.598,2.616,17.293,49.902,47.579,3.491
JY41-5,2586.875,1,177.12,257.844,2.581,15.13,62.373,60.149,3.133
JY41-5,2587,1,172.485,255.594,2.608,14.183,61.57,61.454,3.126
JY41-5,2587.125,1,175.887,254.226,2.612,13.704,61.816,61.551,3.115
JY41-5,2589.25,2,184.195,257.827,2.573,13.822,54.333,54.305,3.053
JY41-5,2589.375,2,180.289,260.049,2.6,13.902,55.474,54.724,3.841
JY41-5,2589.5,2,187.911,260.764,2.595,14.151,56.024,55.07,4.015
JY41-5,2591.5,1,208.832,261.939,2.598,13.403,38.248,36.723,3.261
JY41-5,2591.625,1,224.591,264.146,2.609,16.589,33.9,31.998,4.075
