Well Name,Depth,GR,AC,DEN,CNL,LLS
JY2,2462.875,174.289,79.864,2.654,20.782,17.439
JY2,2463,171.017,78.063,2.658,20.861,18.834
JY2,2463.125,170.061,76.942,2.665,21.424,19.454
JY2,2463.25,168.203,76.909,2.672,21.6,19.742
JY2,2463.375,162.459,76.532,2.68,20.794,20.36
JY2,2463.5,152.553,74.913,2.684,19.107,21.861
JY2,2463.625,141.414,72.62,2.682,17.056,25.254
JY2,2463.75,131.096,69.388,2.678,15.076,31.403
JY2,2463.875,122.105,65.168,2.673,13.654,41.213
JY2,2464,113.736,61.792,2.666,12.724,56.458
JY2,2464.125,106.202,59.92,2.656,11.939,75.881
JY2,2464.25,101.989,59.047,2.646,11.08,93.953
JY2,2464.375,102.652,59.157,2.643,10.302,102.126
JY2,2464.5,107.788,60.108,2.646,9.863,98.14
JY2,2464.625,114.616,61.254,2.656,9.924,85.227
JY2,2464.75,119.911,62.552,2.667,10.309,71.347
JY2,2464.875,120.643,63.381,2.671,10.612,62.392
JY2,2465,114.362,62.923,2.664,10.359,63.884
JY2,2465.125,101.859,62.063,2.649,9.362,95.242
JY2,2465.25,87.647,61.637,2.63,7.648,238.445
JY2,2465.375,77.296,60.845,2.616,5.84,638.261
JY2,2465.5,72.132,59.84,2.611,4.46,1199.977
JY2,2465.625,70.54,59.578,2.616,3.725,1697.028
JY2,2465.75,70.729,59.556,2.623,3.403,1924.462
JY2,2465.875,72.637,59.364,2.625,3.274,1966.971
JY2,2466,75.752,59.519,2.621,3.211,1993.938
JY2,2466.125,78.901,59.961,2.618,3.202,2081.948
JY2,2466.25,81.176,60.182,2.62,3.223,2202.625
JY2,2466.375,82.284,60.037,2.624,3.223,2329.261
JY2,2466.5,82.049,59.713,2.626,3.189,2436.066
JY2,2466.625,80.056,59.33,2.622,3.127,2479.449
JY2,2466.75,77.098,59.081,2.617,3.121,2340
JY2,2466.875,74.852,59.177,2.613,3.262,1942.402
JY2,2467,75.692,59.827,2.615,3.625,1339.514
JY2,2467.125,80.439,60.882,2.62,4.189,746.677
JY2,2467.25,88.34,61.963,2.63,4.934,345.2
JY2,2467.375,97.269,62.784,2.641,5.884,165.575
JY2,2467.5,104.999,63.314,2.653,6.964,109.451
JY2,2467.625,110.216,63.298,2.666,7.975,91.588
JY2,2467.75,111.5,62.587,2.675,8.705,92.012
JY2,2467.875,107.843,61.508,2.676,9.068,111.621
JY2,2468,99.315,60.249,2.666,8.791,160.976
JY2,2468.125,89.288,59.002,2.652,7.727,273.008
JY2,2468.25,81.341,58.133,2.644,6.321,465.768
JY2,2468.375,77.569,57.812,2.645,5.135,714.951
JY2,2468.5,77.335,57.828,2.653,4.372,947.028
JY2,2468.625,79.286,58.222,2.657,3.971,1091.404
JY2,2468.75,81.625,58.761,2.654,3.841,1124.361
JY2,2468.875,83.185,58.983,2.648,3.842,1076.019
JY2,2469,84.105,59.149,2.639,3.873,1014.134
JY2,2469.125,84.661,59.703,2.633,3.834,991.411
JY2,2469.25,84.693,60.103,2.629,3.715,1027.774
JY2,2469.375,84.146,60.005,2.629,3.583,1094.476
JY2,2469.5,83.938,60.026,2.63,3.521,1157.831
JY2,2469.625,84.836,60.26,2.629,3.513,1205.082
JY2,2469.75,87.017,60.142,2.622,3.519,1227.822
JY2,2469.875,89.586,59.689,2.611,3.532,1175.833
JY2,2470,91.523,59.537,2.604,3.61,1014.417
JY2,2470.125,91.83,59.826,2.606,3.858,769.803
JY2,2470.25,90.307,60.087,2.618,4.284,536.368
JY2,2470.375,86.862,60.312,2.629,4.844,383.449
JY2,2470.5,81.811,60.5,2.633,5.412,316.132
JY2,2470.625,77.487,60.47,2.632,5.759,302.63
JY2,2470.75,76.379,60.452,2.631,5.687,316.336
JY2,2470.875,78.319,60.222,2.63,5.319,345.376
JY2,2471,80.02,59.596,2.628,5.076,370.044
JY2,2471.125,79.235,59.41,2.623,5.222,379.767
JY2,2471.25,76.662,59.696,2.619,5.605,380.982
JY2,2471.375,74.111,59.592,2.617,5.957,381.86
JY2,2471.5,73.289,59.635,2.616,6.288,364.616
JY2,2471.625,76.188,60.681,2.619,6.945,296.927
JY2,2471.75,85.015,63.168,2.631,8.118,196.984
JY2,2471.875,102.512,67.44,2.656,9.857,103.624
JY2,2472,125.362,71.939,2.685,12.031,50.573
JY2,2472.125,146.581,75.588,2.709,14.677,29.18
JY2,2472.25,157.696,78.12,2.718,17.613,23.154
JY2,2472.375,160.139,79.125,2.718,19.934,21.868
JY2,2472.5,158.667,78.224,2.715,20.878,22.794
JY2,2472.625,157.079,76.454,2.717,20.743,24.731
JY2,2472.75,155.168,75.351,2.723,20.204,26.353
JY2,2472.875,153.064,75.379,2.73,19.625,27.182
JY2,2473,152.581,75.486,2.731,19.549,27.107
JY2,2473.125,154.156,75.559,2.721,20.185,26.352
JY2,2473.25,156.795,76.358,2.705,21.282,25.196
JY2,2473.375,158.764,77.32,2.694,22.166,24.113
JY2,2473.5,159.444,77.615,2.69,22.579,23.355
JY2,2473.625,159.923,77.642,2.692,22.338,22.812
JY2,2473.75,161.812,78.043,2.694,21.729,22.214
JY2,2473.875,165.526,78.773,2.698,21.286,21.48
JY2,2474,169.891,79.698,2.703,21.536,20.651
JY2,2474.125,174.144,80.668,2.706,22.294,19.819
JY2,2474.25,177.579,81.57,2.707,22.911,19.174
JY2,2474.375,177.86,82.283,2.704,21.475,19.26
JY2,2474.5,171.489,81.479,2.693,14.983,21.043
JY2,2474.625,154.112,78.013,2.674,7.051,26.569
JY2,2474.75,127.216,73.526,2.65,2.926,52.28
JY2,2474.875,97.411,68.911,2.63,1.607,183.254
JY2,2475,74.13,64.227,2.617,1.779,577.778
JY2,2475.125,61.016,61.039,2.608,2.338,1337.149
JY2,2475.25,55.765,60.072,2.602,2.716,2223.503
JY2,2475.375,54.311,60.136,2.598,2.784,2904.492
JY2,2475.5,54.337,60.216,2.595,2.814,3165.929
JY2,2475.625,55.566,60.546,2.594,2.927,3130.904
JY2,2475.75,57.071,61.297,2.593,3.127,2973.596
JY2,2475.875,57.661,61.965,2.592,3.327,2811.898
JY2,2476,56.946,61.895,2.595,3.483,2653.301
JY2,2476.125,55.383,61.317,2.603,3.623,2441.023
JY2,2476.25,53.7,60.479,2.617,3.806,2093.408
JY2,2476.375,54.04,59.55,2.633,4.137,1576.376
JY2,2476.5,60.25,59.686,2.642,4.783,970.624
JY2,2476.625,75.538,62.332,2.649,5.984,464.557
JY2,2476.75,100.738,67.552,2.657,8.129,166.543
JY2,2476.875,129.039,73.146,2.673,11.15,58.412
JY2,2477,153.214,77.92,2.694,14.522,28.445
JY2,2477.125,166.798,81.202,2.711,17.171,21.02
JY2,2477.25,170.854,82.435,2.725,19.107,18.468
JY2,2477.375,169.302,81.751,2.732,20.918,17.88
JY2,2477.5,167.488,80.832,2.736,22.447,18.215
JY2,2477.625,167.516,80.609,2.737,23.258,18.705
JY2,2477.75,168.609,80.777,2.738,23.385,19.036
JY2,2477.875,168.975,80.944,2.739,23.197,19.062
JY2,2478,168.094,81.254,2.737,22.968,18.839
JY2,2478.125,165.302,81.688,2.734,22.793,18.515
JY2,2478.25,160.603,82.2,2.734,22.536,18.301
JY2,2478.375,155.226,82.661,2.739,22.257,18.307
JY2,2478.5,152.027,82.843,2.746,22.32,18.477
JY2,2478.625,151.71,82.848,2.75,22.771,18.364
JY2,2478.75,152.729,82.506,2.748,23.371,17.469
JY2,2478.875,153.375,81.73,2.742,23.649,15.788
JY2,2479,153.805,81.259,2.737,23.578,14.133
JY2,2479.125,154.528,81.277,2.735,23.504,13.245
JY2,2479.25,155.698,81.44,2.734,23.441,13.543
JY2,2479.375,157.519,81.855,2.731,23.094,14.936
JY2,2479.5,160.201,82.373,2.725,22.405,17.048
JY2,2479.625,162.769,82.722,2.715,21.814,19.1
JY2,2479.75,164.133,83.173,2.705,21.672,20.437
JY2,2479.875,163.767,83.749,2.702,21.892,21.069
JY2,2480,162.414,83.95,2.706,22.04,21.457
JY2,2480.125,160.563,83.66,2.712,21.998,21.893
JY2,2480.25,158.419,83.173,2.712,21.756,22.369
JY2,2480.375,156.541,82.518,2.705,21.29,22.811
JY2,2480.5,156.588,81.695,2.698,20.797,23.108
JY2,2480.625,159.653,81.381,2.696,20.644,23.112
JY2,2480.75,163.602,81.97,2.7,20.919,22.749
JY2,2480.875,165.291,82.904,2.703,21.366,22.084
JY2,2481,164.233,83.506,2.7,21.719,21.293
