Well Name,Depth,Facies,GR,AC,DEN,LLS
JY56-z1,2869.875,4,202.465,261.771,2.701,36.891
JY56-z1,2870,4,198.784,259.954,2.698,39.25
JY56-z1,2870.25,4,193.824,256.697,2.691,42.147
JY56-z1,2870.375,4,194.304,256.262,2.695,43.342
JY56-z1,2870.625,4,195.741,259.285,2.695,43.948
JY56-z1,2870.875,4,199.771,265.331,2.681,42.177
JY56-z1,2871,4,204.394,268.315,2.682,40.938
JY56-z1,2871.25,4,211.455,271.449,2.673,38.432
JY56-z1,2871.5,4,226.782,268.876,2.647,37.647
JY56-z1,2871.625,4,230.538,264.967,2.633,38.078
JY56-z1,2871.75,4,224.608,260.144,2.634,38.661
JY56-z1,2874.125,4,187.071,242.143,2.665,48.152
JY56-z1,2874.25,4,186.125,243.295,2.663,44.782
JY56-z1,2874.375,4,185.95,244.358,2.663,37.12
JY56-z1,2874.5,4,185.556,244.924,2.663,26.459
JY56-z1,2874.625,4,185.417,245.329,2.663,17.044
JY56-z1,2874.75,4,186.492,245.699,2.663,11.899
JY56-z1,2876.5,5,180.435,234.906,2.68,70.002
JY56-z1,2876.625,5,173.312,234.057,2.687,72.361
JY56-z1,2876.75,5,164.72,233.544,2.686,75.651
JY56-z1,2884.75,4,191.306,268.203,2.619,64.643
JY56-z1,2884.875,4,191.494,267.972,2.616,65.621
JY56-z1,2886.75,4,190.201,272.27,2.623,10.379
JY56-z1,2886.875,4,191.312,272.557,2.622,19.524
JY56-z1,2887,4,190.751,271.908,2.622,35.838
JY56-z1,2897.375,5,201.478,247.118,2.621,33.84
JY56-z1,2897.5,5,202.957,245.983,2.625,55.149
JY56-z1,2897.625,5,203.683,245.696,2.63,79.421
JY56-z1,2898.375,4,214.601,246.731,2.623,84.329
JY56-z1,2898.5,4,213.344,247.116,2.627,92.281
JY56-z1,2898.625,4,209.516,248.093,2.627,99.248
JY56-z1,2899.125,5,209.189,250.04,2.623,75.522
JY56-z1,2899.25,5,209.761,249.581,2.616,71.29
JY56-z1,2899.375,5,213.236,249.166,2.607,71.558
JY51-2,3052.75,4,159.607,89.594,237.711,18.091
JY51-2,3052.875,4,161.003,90.077,240.227,18.433
JY51-2,3053,4,162.138,90.503,242.53,18.745
JY51-2,3053.75,4,192.832,93.346,253.755,20.975
JY51-2,3053.875,4,195.509,93.915,254.021,20.935
JY51-2,3054,4,196.842,94.448,254.741,20.968
JY51-2,3054.75,4,199.708,96.034,257.956,22.316
JY51-2,3054.875,4,198.12,96.168,256.577,21.955
JY51-2,3055,4,197.041,96.353,254.771,21.615
JY51-2,3055.75,4,198.012,96.834,247.534,19.692
JY51-2,3055.875,4,198.917,96.652,248.479,19.852
JY51-2,3056,4,200.281,96.473,249.495,20.101
JY51-2,3056.75,4,188.383,95.618,248.786,21.278
JY51-2,3056.875,4,187.104,95.502,248.304,21.464
JY51-2,3057,4,186.594,95.338,247.955,21.149
JY51-2,3057.75,4,188.286,93.883,248.046,19.871
JY51-2,3057.875,4,188.588,93.79,248.527,19.678
JY51-2,3058,4,188.402,93.722,248.81,19.752
JY51-2,3058.75,4,194.526,93.223,250.505,20.477
JY51-2,3058.875,4,198.933,93.494,251.752,20.502
JY51-2,3059,4,199.656,93.937,252.394,20.433
JY51-2,3059.75,4,196.919,95.239,250.387,19.612
JY51-2,3059.875,4,196.461,95.096,250.166,19.423
JY51-2,3060,4,197.179,94.976,249.718,19.115
JY51-2,3060.75,4,194.546,94.353,243.558,17.28
JY51-2,3060.875,4,194.005,94.265,243.729,17.544
JY51-2,3061,4,192.133,94.219,243.276,18.054
JY51-2,3061.75,4,190.989,94.297,244.255,18.207
JY51-2,3061.875,4,192.788,94.321,245.265,18.084
JY51-2,3062,4,193.159,94.302,245.833,18.25
JY51-2,3062.75,4,196.484,94.451,248.944,19.15
JY51-2,3062.875,4,197.961,94.478,250.999,19.413
JY51-2,3063,4,197.691,94.451,252.028,19.591
JY51-2,3063.75,4,204.037,94.499,252.987,19.914
JY51-2,3063.875,4,205.067,94.53,253.797,20.388
JY51-2,3064,4,206.055,94.537,254.836,20.517
JY51-2,3064.75,4,209.6,94.474,255.792,19.255
JY51-2,3064.875,4,209.411,94.422,255.453,19.169
JY51-2,3065,4,211.269,94.392,255.821,19.144
JY51-2,3065.75,4,228.722,94.749,258.981,19.237
JY51-2,3065.875,4,230.068,94.801,258.235,18.263
JY51-2,3066,4,226.645,94.803,257.17,17.735
JY51-2,3066.75,4,213.593,93.531,251.274,17.387
JY51-2,3066.875,4,216.469,93.407,251.967,17.305
JY51-2,3067,4,219.479,93.413,252.617,17.526
JY51-2,3067.75,4,222.793,94.041,248.274,17.389
JY51-2,3067.875,4,222.377,94.182,248.446,17.136
JY51-2,3068,4,220.049,94.443,248.762,16.877
JY51-2,3068.75,4,175.776,97.033,224.993,14.998
JY51-2,3068.875,4,163.135,97.229,221.863,13.797
JY51-2,3069,4,165.213,97.349,224.016,13.613
