Well Name,Depth,GR,AC,DEN,CNL,Facies
JY36-4HF,3116.75,148.689,197.634,2.676,14.226,2
JY36-4HF,3116.875,147.401,197.634,2.668,12.55,2
JY36-4HF,3117,150.963,198.006,2.664,11.78,2
JY36-4HF,3117.125,156.362,198.784,2.668,12.412,2
JY36-4HF,3117.25,161.308,199.532,2.676,14.273,2
JY36-4HF,3117.375,164.92,200.532,2.684,16.714,2
JY36-4HF,3117.5,167.026,202.768,2.688,18.816,2
JY36-4HF,3117.625,168.353,204.865,2.687,19.828,2
JY36-4HF,3117.75,170.351,206.284,2.684,19.845,2
JY36-4HF,3117.875,173.547,207.421,2.683,19.814,2
JY36-4HF,3118,176.492,208.463,2.688,20.498,2
JY36-4HF,3118.125,177.497,209.732,2.696,21.665,2
JY36-4HF,3118.25,176.644,211.169,2.706,22.237,2
JY36-4HF,3118.375,175.404,212.743,2.714,21.719,2
JY36-4HF,3118.5,174.915,214.436,2.72,20.877,2
JY36-4HF,3118.625,175.316,216.17,2.723,20.598,2
JY36-4HF,3118.75,176.375,217.632,2.721,21.145,2
JY36-4HF,3118.875,178.13,218.379,2.718,22.213,2
JY36-4HF,3119.375,185.514,212.413,2.707,22.718,2
JY36-4HF,3119.5,182.759,210.537,2.707,21.68,2
JY36-4HF,3119.625,179.644,209.321,2.706,20.964,2
JY36-4HF,3119.75,178.354,208.669,2.704,20.77,2
JY36-4HF,3119.875,179.833,208.195,2.703,20.947,2
JY36-4HF,3120,182.793,207.648,2.705,21.152,2
JY36-4HF,3120.125,184.72,207.04,2.709,21.119,2
JY36-4HF,3120.25,184.11,206.645,2.71,21.058,2
JY36-4HF,3120.375,182.073,206.714,2.707,21.182,2
JY36-4HF,3120.5,179.836,207.366,2.704,21.394,2
JY36-4HF,3120.625,178.347,208.284,2.703,21.352,2
JY36-4HF,3120.75,177.633,208.873,2.703,20.925,2
JY36-4HF,3120.875,177.996,208.454,2.701,20.53,2
JY36-4HF,3121,179.571,207.138,2.698,20.534,2
JY36-4HF,3121.125,181.209,205.496,2.698,20.991,2
JY36-4HF,3121.25,182.146,204.279,2.701,21.444,2
JY36-4HF,3121.375,182.795,203.755,2.704,21.407,2
JY36-4HF,3121.5,183.812,203.954,2.705,20.926,2
JY36-4HF,3121.625,185.314,204.452,2.706,20.736,2
JY36-4HF,3121.75,186.52,204.792,2.707,21.063,2
JY36-4HF,3121.875,186.638,204.939,2.709,21.472,2
JY36-4HF,3122,185.136,205.512,2.71,21.65,2
JY36-4HF,3122.125,182.696,206.846,2.71,21.641,2
JY36-4HF,3122.25,180.512,208.867,2.712,21.69,2
JY36-4HF,3122.375,180.558,210.875,2.715,21.931,2
JY36-4HF,3122.5,182.631,212.258,2.718,22.407,2
JY36-4HF,3122.625,184.786,212.556,2.718,22.89,2
JY36-4HF,3122.875,182.502,211.408,2.714,22.506,2
JY36-4HF,3123,180.452,211.324,2.712,22.024,2
JY36-4HF,3123.125,180.268,211.922,2.71,21.953,2
JY36-4HF,3123.25,180.971,212.823,2.708,22.332,2
JY36-4HF,3123.375,180.956,213.594,2.705,22.804,2
JY36-4HF,3123.625,180.499,215.098,2.696,22.47,2
JY36-4HF,3123.75,180.867,216.306,2.697,21.491,2
JY36-4HF,3123.875,180.784,217.544,2.701,20.525,2
JY36-4HF,3124,180.926,217.945,2.705,20.233,2
JY36-4HF,3124.125,181.836,216.646,2.705,20.872,2
JY36-4HF,3124.25,182.448,213.395,2.699,22,2
JY36-4HF,3124.375,181.084,209.193,2.689,22.614,2
JY36-4HF,3124.5,178.364,205.823,2.678,22.309,2
JY36-4HF,3124.625,176.374,204.882,2.67,22.21,2
JY36-4HF,3124.75,175.725,206.651,2.668,23.064,2
JY36-4HF,3124.875,175.645,209.944,2.667,23.6,2
JY36-4HF,3125,176.012,212.924,2.667,21.895,2
JY36-4HF,3125.125,177.586,214.063,2.666,18.879,2
JY36-4HF,3125.25,180.152,212.921,2.668,17.164,2
JY36-4HF,3125.375,181.894,210.191,2.675,17.492,2
JY36-4HF,3125.5,180.941,207.118,2.688,18.801,2
JY36-4HF,3125.625,177.773,204.554,2.702,20.016,2
JY36-4HF,3125.75,174.871,202.527,2.711,20.749,2
JY36-4HF,3125.875,174.054,200.687,2.708,20.971,2
JY36-4HF,3126,175.226,198.797,2.699,20.794,2
JY36-4HF,3126.125,176.646,197.043,2.69,20.473,2
JY36-4HF,3126.25,176.622,195.999,2.687,20.27,2
JY36-4HF,3126.375,175.028,196.342,2.689,20.24,2
JY36-4HF,3126.5,173.638,198.121,2.691,20.207,2
JY36-4HF,3126.625,174.348,200.45,2.692,19.916,2
JY36-4HF,3126.75,177.245,202.419,2.689,19.382,2
JY36-4HF,3126.875,180.477,203.574,2.686,18.929,2
JY36-4HF,3127,181.97,204.22,2.686,18.842,2
JY36-4HF,3127.125,181.882,205.107,2.693,19.252,2
JY36-4HF,3127.25,181.328,207.124,2.701,20.164,2
JY36-4HF,3127.375,181.202,210.401,2.707,21.414,2
JY36-4HF,3127.5,181.785,214.199,2.709,22.529,2
JY36-4HF,3127.625,182.323,217.151,2.708,22.935,2
JY36-4HF,3127.75,181.199,218.467,2.707,22.514,2
JY36-4HF,3127.875,178.05,218.136,2.705,21.723,2
JY36-4HF,3128,174.836,216.897,2.702,21.268,2
JY36-4HF,3128.125,175.265,215.686,2.698,21.474,2
JY36-4HF,3128.25,179.642,215.125,2.696,22.101,2
JY36-4HF,3128.375,184.527,214.9,2.696,22.453,2
JY36-4HF,3128.5,186.515,214.181,2.692,22.193,2
JY36-4HF,3128.625,185.127,212.068,2.686,21.632,2
JY36-4HF,3128.75,181.976,208.619,2.685,21.153,2
JY36-4HF,3128.875,179.29,204.425,2.691,20.97,2
JY36-4HF,3129,178.484,200.6,2.696,21.108,2
JY36-4HF,3129.125,179.49,197.999,2.682,21.501,2
JY36-4HF,3129.25,180.969,196.837,2.646,22.022,2
JY36-4HF,3129.375,182.197,196.645,2.643,22.317,2
JY36-4HF,3129.5,183.024,196.738,2.638,22.064,2
JY36-4HF,3129.625,183.816,196.691,2.627,21.349,2
JY36-4HF,3129.75,184.272,196.396,2.655,20.777,2
JY36-4HF,3129.875,184.126,196.056,2.68,20.886,2
JY36-4HF,3130,183.976,195.768,2.688,21.722,2
JY36-4HF,3130.125,184.943,195.422,2.69,22.68,2
JY36-4HF,3130.25,186.547,194.87,2.691,23.14,2
JY36-4HF,3130.375,186.997,193.956,2.693,22.876,2
JY36-4HF,3130.5,185.416,192.923,2.695,22.061,2
JY36-4HF,3130.625,183.258,192.177,2.696,21.184,2
JY36-4HF,3130.75,181.83,192.05,2.699,20.697,2
JY36-4HF,3130.875,181.267,192.408,2.702,20.74,2
JY36-4HF,3131,180.861,192.778,2.703,21.18,2
JY36-4HF,3131.125,179.707,192.6,2.703,21.49,2
JY36-4HF,3131.25,177.459,191.727,2.701,21.247,2
JY36-4HF,3131.375,175.086,190.496,2.699,20.575,2
JY36-4HF,3131.5,174.907,189.58,2.697,20.097,2
JY36-4HF,3131.625,177.159,189.539,2.697,20.431,2
JY36-4HF,3131.75,179.731,190.519,2.7,21.605,2
JY36-4HF,3131.875,180.463,192.041,2.703,22.836,2
JY36-4HF,3132.125,179.244,194.106,2.708,22.732,2
JY36-4HF,3132.25,181.205,194.144,2.708,22.246,2
JY36-4HF,3132.375,184.722,193.938,2.709,22.417,2
JY36-4HF,3132.5,187.324,193.826,2.709,23.06,2
JY36-4HF,3133,186.314,193.471,2.726,22.86,2
JY36-4HF,3133.125,186.001,193.631,2.732,22.862,2
JY36-4HF,3134.875,182.714,190.071,2.705,20.426,2
JY36-4HF,3135,166.593,191.174,2.698,16.058,2
JY36-4HF,3135.125,146.561,192.368,2.682,10.967,2
JY36-4HF,3135.25,127.761,192.903,2.659,6.538,2
JY36-4HF,3135.375,113.188,192.585,2.637,3.682,2
JY36-4HF,3135.5,104.779,192.013,2.621,2.444,2
JY36-4HF,3135.625,102.307,191.929,2.618,2.757,2
JY36-4HF,3135.75,105.052,192.111,2.626,4.207,2
JY36-4HF,3135.875,110.176,191.97,2.642,6.412,2
JY36-4HF,3136,115.36,191.221,2.658,8.713,2
JY36-4HF,3136.125,119.337,190.584,2.667,10.353,2
JY36-4HF,3136.25,121.254,191.237,2.669,10.822,2
JY36-4HF,3136.375,119.999,192.914,2.666,10.018,2
JY36-4HF,3136.5,115.114,194.291,2.656,8.481,2
JY36-4HF,3136.625,109.01,194.362,2.639,6.838,2
JY36-4HF,3136.75,103.733,193.7,2.62,5.508,2
JY36-4HF,3136.875,100.01,193.476,2.603,4.541,2
JY36-4HF,3137,97.338,193.802,2.592,4.023,2
JY36-4HF,3137.125,95.794,194.365,2.588,3.956,2
JY36-4HF,3137.25,96.229,195.177,2.591,4.257,2
JY36-4HF,3137.375,98.842,196.486,2.599,4.88,2
JY36-4HF,3137.5,103.472,197.878,2.609,5.836,2
JY36-4HF,3137.625,109.379,198.217,2.616,7.226,2
JY36-4HF,3137.75,116.054,197.041,2.622,9.082,2
JY36-4HF,3137.875,123.277,194.549,2.627,11.123,2
JY36-4HF,3138,130.024,191.734,2.636,12.887,2
JY36-4HF,3138.125,135.046,189.499,2.647,13.834,2
JY36-4HF,3138.25,137.787,188.259,2.659,13.822,2
JY36-4HF,3138.375,138.9,187.895,2.665,13.311,2
JY36-4HF,3138.5,139.301,188.078,2.664,12.998,2
JY36-4HF,3138.625,139.938,188.714,2.658,13.083,2
JY36-4HF,3138.75,141.809,189.863,2.655,13.169,2
JY36-4HF,3138.875,145.148,191.021,2.657,12.906,2
JY36-4HF,3139,148.807,191.376,2.663,12.36,2
JY36-4HF,3139.125,151.276,190.526,2.67,11.82,2
JY36-4HF,3139.25,151.912,188.864,2.676,11.496,2
JY36-4HF,3139.375,150.98,187.336,2.68,11.483,2
JY36-4HF,3139.5,149.266,186.446,2.679,11.742,2
JY36-4HF,3139.625,147.489,186.147,2.676,11.992,2
JY36-4HF,3139.75,145.84,186.176,2.673,11.871,2
JY36-4HF,3139.875,143.801,186.403,2.671,11.275,2
JY36-4HF,3140,141.561,186.931,2.672,10.481,2
JY36-4HF,3140.125,140.499,187.694,2.674,9.954,2
JY36-4HF,3140.25,141.792,188.534,2.676,10.068,2
JY36-4HF,3140.375,145.248,189.363,2.677,10.953,2
JY36-4HF,3140.5,149.499,190.409,2.679,12.504,2
JY36-4HF,3140.625,153.821,192.166,2.681,14.363,2
JY36-4HF,3140.75,158.31,195.125,2.684,15.944,2
JY36-4HF,3140.875,163.426,199.204,2.689,17.084,2
JY36-4HF,3141,168.84,203.855,2.693,18.328,2
JY36-4HF,3141.125,173.402,207.946,2.695,20.391,2
JY36-4HF,3141.625,180.972,210.259,2.697,21.713,2
JY36-4HF,3141.75,178.776,210.159,2.704,19.318,2
JY36-4HF,3141.875,178.368,210.685,2.709,18.212,2
JY36-4HF,3142,180.156,211.437,2.708,18.716,2
JY36-4HF,3142.125,183.028,211.819,2.701,20.142,2
JY36-4HF,3142.25,185.608,211.709,2.695,21.545,2
JY36-4HF,3142.375,187.112,211.437,2.694,21.803,2
JY36-4HF,3142.5,187.09,211.647,2.699,21.034,2
JY36-4HF,3142.625,186.963,212.634,2.705,20.084,2
JY36-4HF,3142.75,188.597,214.257,2.709,19.928,2
JY36-4HF,3142.875,192.307,215.893,2.707,20.648,2
JY36-4HF,3143,195.922,217.016,2.701,21.593,2
JY36-4HF,3143.125,197.563,217.25,2.696,22.005,2
JY36-4HF,3143.25,197.024,216.623,2.699,21.887,2
JY36-4HF,3143.375,195.256,215.12,2.708,21.73,2
JY36-4HF,3143.5,192.78,212.666,2.716,21.881,2
JY36-4HF,3143.625,190.024,209.595,2.718,22.185,2
JY36-4HF,3143.75,187.366,206.536,2.715,21.974,2
JY36-4HF,3143.875,184.711,203.99,2.707,20.545,2
JY36-4HF,3144,180.964,201.837,2.698,17.581,2
JY36-4HF,3144.125,174.724,199.649,2.689,13.514,2
JY36-4HF,3144.25,165.214,197.238,2.681,9.321,2
JY36-4HF,3144.375,153.004,194.926,2.67,5.863,2
JY36-4HF,3144.5,140.37,193.182,2.656,3.606,2
JY36-4HF,3144.625,131.387,192.166,2.641,2.635,2
JY36-4HF,3144.75,129.335,191.615,2.63,2.894,2
JY36-4HF,3144.875,133.88,191.188,2.629,4.484,2
JY36-4HF,3145,142.645,191.04,2.642,7.511,2
JY36-4HF,3145.125,152.28,191.436,2.664,11.972,2
JY36-4HF,3145.25,159.934,192.483,2.683,17.102,2
JY36-4HF,3145.375,163.053,193.508,2.688,20.494,2
JY36-4HF,3145.5,159.781,193.786,2.674,19.629,2
JY36-4HF,3145.625,151.09,193.043,2.649,14.768,2
JY36-4HF,3145.75,139.672,191.838,2.624,9.539,2
JY36-4HF,3145.875,128.716,190.942,2.608,5.671,2
JY36-4HF,3146,119.151,190.699,2.604,3.444,2
JY36-4HF,3146.125,110.602,190.743,2.604,2.329,2
JY36-4HF,3146.25,102.562,190.684,2.603,1.938,2
JY36-4HF,3146.375,95.841,190.41,2.595,1.878,2
JY36-4HF,3146.5,92.048,190.074,2.583,1.929,2
JY36-4HF,3146.625,91.333,189.851,2.573,2.111,2
JY36-4HF,3146.75,93.404,189.507,2.574,2.596,2
JY36-4HF,3146.875,98.807,189.28,2.587,3.605,2
JY36-4HF,3147,106.649,188.979,2.606,5.335,2
JY36-4HF,3147.125,115.26,188.803,2.622,7.642,2
JY36-4HF,3147.25,122.081,188.515,2.633,10.018,2
JY36-4HF,3147.375,125.945,188.151,2.638,11.297,2
JY36-4HF,3147.5,126.587,187.692,2.638,10.931,2
JY36-4HF,3147.625,124.597,187.286,2.636,9.185,2
JY36-4HF,3147.75,120.35,187.339,2.635,7.011,2
JY36-4HF,3147.875,114.52,187.961,2.635,5.18,2
JY36-4HF,3148,108.682,189.224,2.631,4.08,2
JY36-4HF,3148.125,104.528,190.623,2.621,3.697,2
JY36-4HF,3148.25,103.23,191.896,2.61,3.813,2
JY36-4HF,3148.375,104.161,192.814,2.605,4.286,2
JY36-4HF,3148.5,106.673,193.37,2.608,5.014,2
JY36-4HF,3148.625,110.561,193.76,2.616,5.918,2
JY36-4HF,3148.75,114.918,194.105,2.623,6.958,2
JY36-4HF,3148.875,118.635,194.436,2.627,8.138,2
JY36-4HF,3149,122.906,194.574,2.628,9.421,2
JY36-4HF,3149.125,128.808,194.406,2.632,10.509,2
JY36-4HF,3149.25,134.126,193.937,2.639,10.882,2
