,Well Name,Depth,Facies,GR,AC,DEN,CNL
306,JY41-5,2494.5,4,165.888,238.551,2.742,18.609
307,JY41-5,2494.625,4,164.232,238.706,2.745,18.517
308,JY41-5,2496.625,3,164.439,238.303,2.723,17.359
309,JY41-5,2496.75,3,165.382,240.761,2.731,19.685
310,JY41-5,2496.875,3,165.65,242.55,2.738,21.029
311,JY41-5,2520.125,4,188.447,249.275,2.725,21.748
312,JY41-5,2520.25,4,181.884,247.823,2.716,19.892
313,JY41-5,2521,4,174.907,238.665,2.703,17.194
314,JY41-5,2521.125,4,176.183,238.368,2.7,17.181
315,JY41-5,2521.25,4,177.935,238.672,2.702,17.483
316,JY41-5,2522.125,4,181.222,242.698,2.709,19.511
317,JY41-5,2522.25,4,184.508,243.803,2.704,19.379
318,JY41-5,2522.375,4,187.919,245.654,2.699,19.4
319,JY41-5,2523.25,4,189.081,253.41,2.716,20.6
320,JY41-5,2523.375,4,191.613,253.397,2.718,20.88
321,JY41-5,2523.5,4,194.113,253.462,2.716,20.9
322,JY41-5,2524.25,4,186.462,254.463,2.701,20.818
323,JY41-5,2524.375,4,183.164,254.525,2.709,20.741
324,JY41-5,2524.5,4,182.628,254.347,2.72,20.658
325,JY41-5,2525.125,4,174.938,251.576,2.703,21.156
326,JY41-5,2525.25,4,175.701,251.445,2.705,20.67
327,JY41-5,2525.375,4,176.596,251.55,2.71,20.224
328,JY41-5,2526.125,4,178.725,254.019,2.728,20.25
329,JY41-5,2526.25,4,180.339,254.521,2.731,20.893
330,JY41-5,2526.375,4,183.28,255.012,2.735,21.529
331,JY41-5,2527.125,4,181.617,255.457,2.72,20.906
332,JY41-5,2527.25,4,179.41,254.761,2.716,20.503
333,JY41-5,2527.375,4,177.695,253.873,2.715,20.45
334,JY41-5,2528,4,178.108,250.025,2.723,20.761
335,JY41-5,2528.125,4,175.971,249.991,2.719,20.25
336,JY41-5,2528.25,4,175.205,250.204,2.714,20.031
337,JY41-5,2528.875,4,182.537,249.494,2.716,19.519
338,JY41-5,2529,4,178.026,248.254,2.714,20.092
339,JY41-5,2529.125,4,172.929,246.999,2.718,20.226
340,JY41-5,2529.75,4,179.54,247.462,2.726,21.053
