Well Name,Depth,Facies,GR,AC,DEN,LLS,LLD
JY11-4,2289.125,5,173.91,265.489,2.655,11.046,11.281
JY11-4,2289.25,5,174.92,264.535,2.649,9.653,10.069
JY11-4,2289.375,5,176.34,263.425,2.643,9.998,10.59
JY11-4,2289.625,5,188.559,244.51,2.639,22.056,23.189
JY11-4,2289.875,2,187.382,252.035,2.652,32.903,34.182
JY11-4,2290,2,196.389,259.546,2.642,33.744,34.877
JY11-4,2290.25,2,209.409,265.684,2.63,33.288,34.347
JY11-4,2290.375,2,222.608,268.159,2.622,32.962,34.017
JY11-4,2290.5,5,230.905,267.009,2.616,33.018,34.107
JY11-4,2290.625,3,231.72,263.816,2.61,33.284,34.388
JY11-4,2290.75,3,226.221,259.268,2.604,33.315,34.364
JY11-4,2291,5,194.391,240.299,2.646,54.829,55.874
JY11-4,2291.125,5,198.053,241.618,2.65,50.163,50.626
JY11-4,2291.25,5,206.598,246.819,2.65,40.105,40.293
JY11-4,2291.375,5,192.676,276.221,2.671,17.462,17.985
JY11-4,2291.625,5,196.519,281.65,2.64,18.682,18.566
JY11-4,2292.5,4,198.884,289.937,2.624,10.426,10.93
JY11-4,2292.625,4,199.276,290.707,2.617,11.939,12.555
JY11-4,2293.75,4,202.439,289.176,2.616,20.869,21.616
JY11-4,2293.875,4,205.146,287.485,2.617,21.319,22.089
JY11-4,2294.25,2,208.671,277.975,2.639,19.658,20.168
JY11-4,2294.375,2,185.35,274.085,2.648,24.246,24.088
JY11-4,2294.5,5,183.352,274.199,2.653,21.523,20.882
JY11-4,2295.125,4,184.55,275.827,2.657,15.696,14.931
JY11-4,2295.25,4,207.038,292.488,2.625,12.123,12.88
JY11-4,2295.875,4,191.198,288.088,2.627,27.377,27.595
JY11-4,2296,4,196.747,288.147,2.644,23.985,24.018
JY11-4,2297,4,153.892,237.748,2.687,34.03,36.096
JY11-4,2297.125,4,144.007,234.656,2.682,44.388,46.49
JY11-4,2297.25,4,153.408,244.324,2.64,50.461,52.07
JY11-4,2298,2,157.348,244.606,2.635,50.72,52.416
JY11-4,2298.125,2,158.038,244.393,2.635,52.034,53.749
JY11-4,2298.25,2,153.457,238.324,2.645,53.343,55
JY11-4,2299.125,4,153.868,237.22,2.645,52.881,54.585
JY11-4,2299.25,4,152.584,236.018,2.649,52.26,53.98
JY11-4,2299.375,4,144.601,233.366,2.661,58.322,60.97
JY11-4,2300,4,143.744,233.068,2.658,59.621,62.245
JY11-4,2300.125,4,140.831,232.61,2.661,59.865,62.384
JY11-4,2300.25,4,147.502,233.93,2.627,53.685,55.568
JY11-4,2300.875,3,148.899,233.436,2.625,53.286,55.182
JY11-4,2301,3,148.456,232.837,2.629,53.723,55.741
JY11-4,2301.125,3,149.76,241.222,2.647,52.761,54.761
JY11-4,2301.625,3,149.311,241.346,2.648,51.827,53.794
JY11-4,2301.75,3,148.926,240.264,2.649,51.32,53.245
JY11-4,2301.875,3,153.795,238.648,2.647,48.576,50.225
JY11-4,2302.875,4,154.394,240.498,2.646,46.984,48.664
JY11-4,2303,4,155.773,242.861,2.643,46.056,47.755
