Well Name,Depth,GR,AC,DEN
JY59-1HF,2957.375,163.282,208.843,2.72
JY59-1HF,2957.5,164.257,209.234,2.716
JY59-1HF,2957.625,164.709,209.766,2.71
JY59-1HF,2957.75,164.493,210.272,2.703
JY59-1HF,2957.875,163.582,210.626,2.698
JY59-1HF,2958,162.249,210.785,2.693
JY59-1HF,2958.125,161.921,210.918,2.69
JY59-1HF,2958.25,162.028,211.066,2.687
JY59-1HF,2958.375,161.878,210.965,2.686
JY59-1HF,2958.5,161.284,210.372,2.688
JY59-1HF,2958.625,160.44,209.151,2.693
JY59-1HF,2958.75,159.896,207.464,2.699
JY59-1HF,2958.875,159.99,206.052,2.704
JY59-1HF,2959,160.581,205.403,2.708
JY59-1HF,2959.125,161.676,205.627,2.709
JY59-1HF,2959.25,163.289,206.615,2.708
JY59-1HF,2959.375,165.39,208.057,2.707
JY59-1HF,2959.5,166.956,209.514,2.708
JY59-1HF,2959.625,167.084,210.749,2.71
JY59-1HF,2959.75,166.537,211.717,2.713
JY59-1HF,2959.875,165.721,212.381,2.717
JY59-1HF,2960,164.819,212.74,2.72
JY59-1HF,2960.125,163.752,212.858,2.721
JY59-1HF,2960.25,163.593,212.872,2.722
JY59-1HF,2960.375,164.624,212.785,2.722
JY59-1HF,2960.5,166.261,212.496,2.722
JY59-1HF,2960.625,167.942,211.883,2.723
JY59-1HF,2960.75,169.278,210.833,2.724
JY59-1HF,2960.875,169.983,209.395,2.723
JY59-1HF,2961,169.999,208.382,2.721
JY59-1HF,2961.125,169.532,208.384,2.717
JY59-1HF,2961.25,168.974,209.551,2.714
JY59-1HF,2961.375,168.724,211.666,2.713
JY59-1HF,2961.5,169.022,214.051,2.713
JY59-1HF,2961.625,169.697,215.507,2.714
JY59-1HF,2961.75,170.458,215.874,2.716
JY59-1HF,2961.875,171.314,215.382,2.715
JY59-1HF,2962,171.925,214.428,2.713
JY59-1HF,2962.125,171.694,213.489,2.711
JY59-1HF,2962.25,169.933,213.025,2.712
JY59-1HF,2962.375,167.359,212.851,2.714
JY59-1HF,2962.5,164.759,212.707,2.717
JY59-1HF,2962.625,162.619,212.533,2.719
JY59-1HF,2962.75,161.384,212.347,2.718
JY59-1HF,2962.875,161.526,212.226,2.716
JY59-1HF,2963,163.496,212.331,2.713
JY59-1HF,2963.125,165.439,212.552,2.711
JY59-1HF,2963.25,166.718,212.745,2.708
JY59-1HF,2963.375,167.11,212.831,2.704
JY59-1HF,2963.5,166.645,212.798,2.702
JY59-1HF,2963.625,165.136,212.737,2.703
JY59-1HF,2963.75,163.423,212.663,2.704
JY59-1HF,2963.875,162.998,212.526,2.704
JY59-1HF,2964,164.071,212.33,2.703
JY59-1HF,2964.125,166.161,212.056,2.701
JY59-1HF,2964.25,168.168,211.641,2.702
JY59-1HF,2964.375,169.054,210.97,2.705
JY59-1HF,2964.5,168.818,210.314,2.71
JY59-1HF,2964.625,167.307,209.797,2.714
JY59-1HF,2964.75,164.821,209.423,2.715
JY59-1HF,2964.875,161.988,209.133,2.715
JY59-1HF,2965,159.776,208.89,2.714
JY59-1HF,2965.125,158.922,208.68,2.715
JY59-1HF,2965.25,158.663,208.403,2.717
JY59-2HF,2807.5,100.263,223.492,2.563
JY59-2HF,2807.625,99.928,222.956,2.564
JY59-2HF,2807.75,99.606,222.429,2.563
JY59-2HF,2807.875,99.401,222.149,2.561
