Well Name,Depth,Facies,GR,AC,DEN,CNL,Facies,Facies
JY11-4,2292.625,2,199.276,290.707,2.617,22.3,2,2
JY11-4,2293.75,2,202.439,289.176,2.616,20.158,2,2
JY11-4,2293.875,2,205.146,287.485,2.617,20.53,2,2
JY11-4,2294.5,2,183.352,274.199,2.653,18.084,2,2
JY11-4,2295.125,2,184.55,275.827,2.657,18.268,2,2
JY11-4,2295.25,2,207.038,292.488,2.625,20.414,2,2
JY11-4,2295.875,2,191.198,288.088,2.627,19.86,2,2
JY11-4,2296,2,196.747,288.147,2.644,19.934,2,2
JY11-4,2297,2,153.892,237.748,2.687,13.277,2,2
JY11-4,2297.125,2,144.007,234.656,2.682,12.981,2,2
JY11-4,2297.25,2,153.408,244.324,2.64,14.506,2,2
JY11-4,2299.125,2,153.868,237.22,2.645,14.828,2,2
JY11-4,2299.25,2,152.584,236.018,2.649,14.334,2,2
JY11-4,2299.375,2,144.601,233.366,2.661,13.783,2,2
JY11-4,2300,2,143.744,233.068,2.658,13.873,2,2
JY11-4,2300.125,2,140.831,232.61,2.661,14.013,2,2
JY11-4,2300.25,2,147.502,233.93,2.627,14.675,2,2
JY11-4,2300.875,2,148.899,233.436,2.625,14.35,2,2
JY11-4,2301,2,148.456,232.837,2.629,14.037,2,2
JY11-4,2301.125,2,149.76,241.222,2.647,14.143,2,2
JY11-4,2301.625,2,149.311,241.346,2.648,14.308,2,2
JY11-4,2301.75,2,148.926,240.264,2.649,14.43,2,2
JY11-4,2301.875,2,153.795,238.648,2.647,14.365,2,2
JY11-4,2302.875,2,154.394,240.498,2.646,14.332,2,2
JY11-4,2303,2,155.773,242.861,2.643,14.597,2,2
JY11-4,2303.125,2,156.869,244.405,2.638,14.913,2,2
JY11-4,2303.875,2,156.614,245.279,2.633,14.972,2,2
JY11-4,2304,2,155.87,245.825,2.627,14.75,2,2
JY11-4,2304.125,2,155.477,245.856,2.622,14.375,2,2
JY11-4,2304.75,2,156.749,245.55,2.619,13.992,2,2
JY11-4,2304.875,2,159.43,245.025,2.619,13.721,2,2
JY11-4,2305,2,161.593,243.657,2.623,13.681,2,2
JY11-4,2305.875,2,160.766,241.068,2.628,13.755,2,2
JY11-4,2306,2,156.531,237.795,2.636,13.709,2,2
JY11-4,2306.125,2,151.433,235.002,2.645,13.424,2,2
JY11-4,2307,2,149.198,233.557,2.652,13.066,2,2
JY11-4,2307.125,2,151.132,234.067,2.652,12.892,2,2
JY11-4,2307.25,2,156.826,236.277,2.647,13.075,2,2
JY11-4,2307.375,2,162.899,239.164,2.64,13.52,2,2
JY11-4,2307.5,2,166.481,241.32,2.636,13.968,2,2
JY11-4,2307.625,2,167.077,242.35,2.634,14.106,2,2
JY11-4,2307.75,2,166.698,242.633,2.634,13.897,2,2
JY11-4,2307.875,2,158.243,241.83,2.632,13.413,2,2
JY11-4,2308,2,154.257,241.027,2.632,13.804,2,2
JY11-4,2308.125,2,152.184,239.881,2.636,14.246,2,2
JY11-4,2308.25,2,149.925,234.669,2.634,13.876,2,2
JY11-4,2308.375,2,152.562,236.069,2.635,13.681,2,2
JY11-4,2308.5,2,154.054,238.551,2.635,13.795,2,2
JY11-4,2308.625,2,156.777,244.683,2.626,14.578,2,2
JY11-4,2308.75,2,159.148,247.228,2.622,14.722,2,2
JY11-4,2308.875,2,161.285,248.519,2.62,14.539,2,2
