GR,SP,AC,DEN,CNL,K,—“–‘£®œ‡£©
202.515,201.017,238.901,2.654,14.359,3.628,
172.249,201.181,236.343,2.603,14.738,3.242,
172.903,200.735,238.71,2.601,15.184,3.023,
169.598,200.025,241.169,2.602,15.67,2.876,
164.379,199.25,243.409,2.605,16.035,2.795,
162.069,198.595,244.745,2.611,16.2,2.744,
163.122,198.218,245.269,2.62,16.123,2.742,
164.722,198.118,245.513,2.631,15.756,2.803,
165.655,198.226,245.628,2.641,15.227,2.935,
166.539,198.372,245.343,2.645,14.8,3.126,
167.438,198.424,244.428,2.641,14.712,3.324,
167.317,198.274,242.799,2.635,14.938,3.486,
165.821,197.922,240.582,2.628,15.178,3.615,
164.209,197.405,238.603,2.624,15.165,3.71,
163.354,196.77,237.989,2.623,14.939,3.755,
163.965,196.084,238.676,2.624,14.712,3.735,
165.205,195.388,239.877,2.628,14.54,3.65,
165.498,194.727,240.589,2.633,14.304,3.542,
163.832,194.135,240.338,2.636,14.003,3.465,
161.18,193.642,239.696,2.636,13.85,3.419,
158.514,193.256,239.152,2.636,13.994,3.378,
156.805,192.95,238.421,2.638,14.292,3.342,
156.273,192.692,237.38,2.644,14.409,3.33,
156.191,192.424,235.604,2.651,14.142,3.345,
155.07,192.1,232.663,2.659,13.629,3.369,
153.212,191.671,229.968,2.667,13.177,3.397,
152.096,191.147,229.715,2.673,13.042,3.436,
153.441,190.557,231.9,2.674,13.291,3.482,
157.09,189.972,235.208,2.669,13.818,3.558,
161.454,189.476,238.713,2.66,14.409,3.665,
164.328,189.151,241.12,2.655,14.766,3.759,
163.985,189.055,241.032,2.653,14.65,3.792,
160.135,189.159,239.304,2.652,14.016,3.783,
155.377,189.401,237.83,2.649,13.16,3.762,
151.864,189.655,237.434,2.646,12.554,3.742,
151.609,189.81,237.717,2.645,12.524,3.73,
153.955,189.765,238.059,2.643,13.035,3.717,
157.266,189.512,238.318,2.639,13.722,3.695,
159.487,189.093,238.407,2.633,14.102,3.649,
160.193,188.571,238.127,2.627,14.017,3.562,
160.856,188.047,237.507,2.627,13.713,3.444,
162.622,187.591,236.828,2.63,13.499,3.313,
163.867,187.277,236.861,2.632,13.506,3.186,
161.718,187.127,237.949,2.632,13.703,3.097,
157.834,187.168,239.413,2.63,13.986,3.065,
155.373,187.387,240.388,2.632,14.204,3.068,
155.479,187.731,240.653,2.639,14.212,3.093,
155.743,188.139,240.778,2.648,14.024,3.15,
154.958,188.523,241.36,2.654,13.79,3.232,
154.788,188.818,242.108,2.654,13.649,3.314,
155.991,188.944,242.725,2.649,13.652,3.38,
157.995,188.884,243.378,2.641,13.744,3.424,
160.327,188.64,243.024,2.633,13.831,3.453,
162.228,188.228,240.052,2.628,13.865,3.471,
161.822,187.716,236.249,2.63,13.787,3.477,
157.809,187.147,234.928,2.64,13.551,3.473,
152.153,186.564,236.53,2.651,13.293,3.467,
150.046,185.985,240.082,2.654,13.471,3.487,
153.189,185.406,245.045,2.647,14.429,3.579,
159.74,184.807,249.83,2.635,15.865,3.727,
166.022,184.171,253.156,2.625,16.808,3.82,
170.223,183.479,255.751,2.619,16.644,3.78,
171.499,182.727,258.219,2.616,15.835,3.671,
169.966,181.918,260.624,2.613,15.14,3.599,
167.504,181.048,263.382,2.613,14.763,3.597,
166.597,180.128,266.186,2.615,14.536,3.642,
167.973,179.16,268.051,2.619,14.454,3.716,
170.672,178.154,269.077,2.622,14.68,3.795,
174.385,177.149,270.013,2.622,15.22,3.839,
178.419,176.204,270.606,2.616,15.748,3.826,
180.344,175.414,270.149,2.608,15.96,3.751,
177.43,174.864,268.891,2.602,15.859,3.639,
171.654,174.689,267.357,2.6,15.604,3.53,
166.507,174.959,265.845,2.601,15.306,3.449,
164.018,175.668,265.058,2.603,15.042,3.409,
163.417,176.798,265.521,2.605,14.937,3.417,
164.317,178.155,266.883,2.605,15.01,3.463,
166.031,179.554,268.659,2.606,15.055,3.509,
167.672,180.761,270.545,2.606,14.954,3.504,
168.946,181.646,271.9,2.606,14.952,3.45,
170.69,182.134,272.307,2.605,15.347,3.376,
172.414,182.196,271.85,2.605,16.072,3.278,
171.81,181.9,270.648,2.603,16.687,3.158,
169.281,181.273,269.024,2.602,16.896,3.055,
166.748,180.413,267.642,2.603,16.78,3,
165.372,179.461,266.761,2.606,16.472,3.002,
165.047,178.607,266.163,2.607,16.048,3.062,
165.572,178.056,265.913,2.607,15.646,3.161,
166.736,177.931,266.175,2.605,15.428,3.262,
167.894,178.325,266.695,2.602,15.444,3.365,
168.561,179.049,267.001,2.599,15.605,3.493,
169.358,179.904,266.965,2.597,15.724,3.623,
